"primary_key","affected_organism_Affected_Organisms"
"DB00747","Humans and other mammals"
"DB00748","Humans and other mammals"
"DB00749","Humans and other mammals"
"DB00750","Humans and other mammals"
"DB00751","Humans and other mammals"
"DB00752","Humans and other mammals"
"DB00753","Humans and other mammals"
"DB00754","Humans and other mammals"
"DB00755","Humans and other mammals"
"DB00756","Enteric bacteria and other eubacteria"
"DB00757","Humans and other mammals"
"DB00758","Humans and other mammals"
"DB00759","Enteric bacteria and other eubacteria"
"DB00759","Borrelia burgdorferi"
"DB00759","Chlamydia trachomatis"
"DB00759","Mycoplasma pneumoniae"
"DB00759","Rickettsia rickettsii"
"DB00759","Vibrio cholerae"
"DB00759","Escherichia coli"
"DB00759","Shigella"
"DB00759","Coxiella"
"DB00760","Enteric bacteria and other eubacteria"
"DB00761","Humans and other mammals"
"DB00762","Humans and other mammals"
"DB00763","Humans and other mammals"
"DB00764","Humans and other mammals"
"DB00765","Humans and other mammals"
"DB00766","Enteric bacteria and other eubacteria"
"DB00767","Humans and other mammals"
"DB00768","Humans and other mammals"
"DB00769","Humans and other mammals"
"DB00770","Humans and other mammals"
"DB00771","Humans and other mammals"
"DB00772","Head lice"
"DB00773","Humans and other mammals"
"DB00774","Humans and other mammals"
"DB00775","Humans and other mammals"
"DB00776","Humans and other mammals"
"DB00777","Humans and other mammals"
"DB00778","Enteric bacteria and other eubacteria"
"DB00779","Enteric bacteria and other eubacteria"
"DB00780","Humans and other mammals"
"DB00782","Humans and other mammals"
"DB00783","Humans and other mammals"
"DB00784","Humans and other mammals"
"DB00785","Humans and other mammals"
"DB00786","Humans and other mammals"
"DB00787","Human Herpes Virus"
"DB00788","Humans and other mammals"
"DB00789","Humans and other mammals"
"DB00790","Humans and other mammals"
"DB00791","Humans and other mammals"
"DB00792","Humans and other mammals"
"DB00793","Dermatophytic fungi including Trichophyton, Microsporum and Epidermophyton"
"DB00794","Humans and other mammals"
"DB00795","Humans and other mammals"
"DB00796","Humans and other mammals"
"DB00797","Humans and other mammals"
"DB00798","Enteric bacteria and other eubacteria"
"DB00798","Pseudomonas aeruginosa"
"DB00798","Yersinia pestis"
"DB00798","Francisella tularensis"
"DB00798","Serratia marcescens"
"DB00798","Proteus vulgaris"
"DB00799","Humans and other mammals"
"DB00800","Humans and other mammals"
"DB00801","Humans and other mammals"
"DB00802","Humans and other mammals"
"DB00803","Gram-negative bacilli"
"DB00804","Humans and other mammals"
"DB00805","Humans and other mammals"
"DB00806","Humans and other mammals"
"DB00807","Humans and other mammals"
"DB00808","Humans and other mammals"
"DB00809","Humans and other mammals"
"DB00810","Humans and other mammals"
"DB00811","Hepatitis B virus"
"DB00811","Hepatitis C virus, RSV and other RNA/DNA viruses"
"DB00812","Humans and other mammals"
"DB00813","Humans and other mammals"
"DB00814","Humans and other mammals"
"DB00815","Humans and other mammals"
"DB00816","Humans and other mammals"
"DB00817","Enteric bacteria and other eubacteria"
"DB00818","Humans and other mammals"
"DB00819","Humans and other mammals"
"DB00820","Humans and other mammals"
"DB00821","Humans and other mammals"
"DB00822","Humans and other mammals"
"DB00823","Humans and other mammals"
"DB00824","Humans and other mammals"
"DB00825","Humans and other mammals"
"DB00826","Various Fungus Species"
"DB00827","Enteric bacteria and other eubacteria"
"DB00828","Enteric bacteria and other eubacteria"
"DB00829","Humans and other mammals"
"DB00830","Humans and other mammals"
"DB00831","Humans and other mammals"
"DB00832","Humans and other mammals"
"DB00833","Enteric bacteria and other eubacteria"
"DB00834","Humans and other mammals"
"DB00835","Humans and other mammals"
"DB00836","Humans and other mammals"
"DB00837","Humans and other mammals"
"DB00838","Humans and other mammals"
"DB00839","Humans and other mammals"
"DB00840","Humans and other mammals"
"DB00841","Humans and other mammals"
"DB00842","Humans and other mammals"
"DB00843","Humans and other mammals"
"DB00844","Humans and other mammals"
"DB00845","Mycobacteria"
"DB00845","Mycobacterium leprae"
"DB00846","Humans and other mammals"
"DB00847","Humans and other mammals"
"DB00848","Humans and other mammals"
"DB00849","Humans and other mammals"
"DB00850","Humans and other mammals"
"DB00851","Humans and other mammals"
"DB00852","Humans and other mammals"
"DB00853","Humans and other mammals"
"DB00854","Humans and other mammals"
"DB00855","Humans and other mammals"
"DB00856","Humans and other mammals"
"DB00857","Fungi"
"DB00858","Humans and other mammals"
"DB00859","Humans and other mammals"
"DB00860","Humans and other mammals"
"DB00861","Humans and other mammals"
"DB00862","Humans and other mammals"
"DB00863","Humans and other mammals"
"DB00864","Humans and other mammals"
"DB00865","Humans and other mammals"
"DB00866","Humans and other mammals"
"DB00867","Humans and other mammals"
"DB00868","Humans and other mammals"
"DB00869","Humans and other mammals"
"DB00870","Humans and other mammals"
"DB00871","Humans and other mammals"
"DB00872","Humans and other mammals"
"DB14596","Humans and other mammals"
"DB00874","Humans and other mammals"
"DB00875","Humans and other mammals"
"DB00876","Humans and other mammals"
"DB00877","Humans and other mammals"
"DB00878","Bacteria"
"DB00879","Human Immunodeficiency Virus"
"DB00880","Humans and other mammals"
"DB00881","Humans and other mammals"
"DB00882","Humans and other mammals"
"DB00883","Humans and other mammals"
"DB00884","Humans and other mammals"
"DB00885","Humans and other mammals"
"DB00886","Humans and other mammals"
"DB00887","Humans and other mammals"
"DB00888","Humans and other mammals"
"DB00889","Humans and other mammals"
"DB00890","Humans and other mammals"
"DB00891","Humans and other mammals"
"DB00892","Humans and other mammals"
"DB00893","Humans and other mammals"
"DB00894","Humans and other mammals"
"DB00895","Humans and other mammals"
"DB00896","Humans and other mammals"
"DB00897","Humans and other mammals"
"DB00898","Humans and other mammals"
"DB00899","Humans and other mammals"
"DB00900","Human Immunodeficiency Virus"
"DB00901","Humans and other mammals"
"DB00902","Humans and other mammals"
"DB00903","Humans and other mammals"
"DB00904","Humans and other mammals"
"DB00905","Humans and other mammals"
"DB00906","Humans and other mammals"
"DB00907","Humans and other mammals"
"DB00908","Humans and other mammals"
"DB00909","Humans and other mammals"
"DB00910","Humans and other mammals"
"DB00911","Trichomonas vaginalis, Giardia duodenalis, and Entamoeba histolytica"
"DB00912","Humans and other mammals"
"DB00913","Humans and other mammals"
"DB00914","Humans and other mammals"
"DB00915","Humans and other mammals"
"DB00915","Various viruses"
"DB00916","Bacteria and protozoa"
"DB00916","Helicobacter pylori"
"DB00916","Peptoclostridium difficile"
"DB00917","Humans and other mammals"
"DB00918","Humans and other mammals"
"DB00919","Enteric bacteria and other eubacteria"
"DB00920","Humans and other mammals"
"DB00921","Humans and other mammals"
"DB00922","Humans and other mammals"
"DB00923","Enteric bacteria and other eubacteria"
"DB00924","Humans and other mammals"
"DB00925","Humans and other mammals"
"DB00926","Humans and other mammals"
"DB00927","Humans and other mammals"
"DB00928","Humans and other mammals"
"DB00929","Humans and other mammals"
"DB00930","Humans and other mammals"
"DB00931","Enteric bacteria and other eubacteria"
"DB00932","Human Immunodeficiency Virus"
"DB00933","Humans and other mammals"
"DB00934","Humans and other mammals"
"DB00935","Humans and other mammals"
"DB00936","Humans and other mammals"
"DB00937","Humans and other mammals"
"DB00938","Humans and other mammals"
"DB00939","Humans and other mammals"
"DB00940","Humans and other mammals"
"DB00941","Humans and other mammals"
"DB00942","Humans and other mammals"
"DB00943","Human Immunodeficiency Virus"
"DB00944","Humans and other mammals"
"DB00945","Humans and other mammals"
"DB00946","Humans and other mammals"
"DB00947","Humans and other mammals"
"DB00948","Enteric bacteria and other eubacteria"
"DB00949","Humans and other mammals"
"DB00950","Humans and other mammals"
"DB00951","Mycobacteria"
"DB00951","Mycobacterium tuberculosis"
"DB00952","Humans and other mammals"
"DB00953","Humans and other mammals"
"DB00954","Enteric bacteria and other eubacteria"
"DB00955","Enteric bacteria and other eubacteria"
"DB00956","Humans and other mammals"
"DB00957","Humans and other mammals"
"DB00958","Humans and other mammals"
"DB00959","Humans and other mammals"
"DB00960","Humans and other mammals"
"DB00961","Humans and other mammals"
"DB00962","Humans and other mammals"
"DB00963","Humans and other mammals"
"DB00964","Humans and other mammals"
"DB00965","Humans and other mammals"
"DB00966","Humans and other mammals"
"DB00967","Humans and other mammals"
"DB00968","Humans and other mammals"
"DB00969","Humans and other mammals"
"DB00970","Humans and other mammals"
"DB00971","Humans and other mammals"
"DB00971","Fungi"
"DB00971","Bacteria"
"DB00972","Humans and other mammals"
"DB00973","Humans and other mammals"
"DB00974","Humans and other mammals"
"DB00975","Humans and other mammals"
"DB00976","Enteric bacteria and other eubacteria"
"DB00977","Humans and other mammals"
"DB00978","Enteric bacteria and other eubacteria"
"DB00979","Humans and other mammals"
"DB00980","Humans and other mammals"
"DB00981","Humans and other mammals"
"DB00982","Humans and other mammals"
"DB00983","Humans and other mammals"
"DB00984","Humans and other mammals"
"DB00985","Humans and other mammals"
"DB00986","Humans and other mammals"
"DB00987","Humans and other mammals"
"DB00988","Humans and other mammals"
"DB00989","Humans and other mammals"
"DB00990","Humans and other mammals"
"DB00991","Humans and other mammals"
"DB00992","Humans and other mammals"
"DB00993","Humans and other mammals"
"DB00994","Enteric bacteria and other eubacteria"
"DB00994","Escherichia coli"
"DB00994","Klebsiella"
"DB00994","Enterobacter"
"DB00995","Humans and other mammals"
"DB00996","Humans and other mammals"
"DB00997","Humans and other mammals"
"DB00998","Humans and other mammals"
"DB00999","Humans and other mammals"
"DB01000","Enteric bacteria and other eubacteria"
"DB01000","Streptococcus pneumoniae"
"DB01000","Haemophilus influenzae"
"DB01001","Humans and other mammals"
"DB01002","Humans and other mammals"
"DB01003","Humans and other mammals"
"DB01004","Human Herpes Virus"
"DB01005","Humans and other mammals"
"DB01006","Humans and other mammals"
"DB01007","Yeast and other fungi"
"DB01008","Humans and other mammals"
"DB01009","Humans and other mammals"
"DB01010","Humans and other mammals"
"DB01011","Humans and other mammals"
"DB01012","Humans and other mammals"
"DB01013","Humans and other mammals"
"DB01014","Humans and other mammals"
"DB01015","Gram negative and gram positive bacteria"
"DB01015","Listeria monocytogenes"
"DB01015","Escherichia coli"
"DB01016","Humans and other mammals"
"DB01017","Enteric bacteria and other eubacteria"
"DB01018","Humans and other mammals"
"DB01019","Humans and other mammals"
"DB01020","Humans and other mammals"
"DB01021","Humans and other mammals"
"DB01022","Humans and other mammals"
"DB01023","Humans and other mammals"
"DB01024","Humans and other mammals"
"DB01025","Humans and other mammals"
"DB01026","Fungi"
"DB01028","Humans and other mammals"
"DB01029","Humans and other mammals"
"DB01030","Humans and other mammals"
"DB01031","Humans and other mammals"
"DB01032","Humans and other mammals"
"DB01033","Humans and other mammals"
"DB01034","Humans and other mammals"
"DB01034","Fungi"
"DB01034","Mycobacterium tuberculosis"
"DB01034","Bacteria"
"DB01035","Humans and other mammals"
"DB01036","Humans and other mammals"
"DB01037","Humans and other mammals"
"DB01038","Humans and other mammals"
"DB01039","Humans and other mammals"
"DB01041","Humans and other mammals"
"DB01042","Humans and other mammals"
"DB01043","Humans and other mammals"
"DB01044","Enteric bacteria and other eubacteria"
"DB01044","Mycobacterium"
"DB01044","Chlamydia pneumoniae"
"DB01044","Chlamydia trachomatis"
"DB01044","Mycoplasma pneumoniae"
"DB01044","Legionella pneumophila"
"DB01044","Chlamydia psittaci"
"DB01045","Mycobacteria"
"DB01045","Mycobacterium tuberculosis"
"DB01045","Various gram-negative and gram-positive eubacteria"
"DB01046","Humans and other mammals"
"DB01047","Humans and other mammals"
"DB01048","Human Immunodeficiency Virus"
"DB01049","Humans and other mammals"
"DB01050","Humans and other mammals"
"DB01051","Enteric bacteria and other eubacteria"
"DB01053","Enteric bacteria and other eubacteria"
"DB01053","Streptococcus pyogenes"
"DB01053","Staphylococcus aureus"
"DB01053","Staphylococcus epidermidis"
"DB01054","Humans and other mammals"
"DB01055","Humans and other mammals"
"DB01056","Humans and other mammals"
"DB01057","Humans and other mammals"
"DB01059","Enteric bacteria and other eubacteria"
"DB01060","Enteric bacteria and other eubacteria"
"DB01060","Gram negative and gram positive bacteria"
"DB01060","Streptococcus pyogenes"
"DB01060","Streptococcus pneumoniae"
"DB01060","Borrelia burgdorferi"
"DB01060","Chlamydia pneumoniae"
"DB01060","Salmonella typhi"
"DB01060","Chlamydia psittaci"
"DB01061","Enteric bacteria and other eubacteria"
"DB01062","Humans and other mammals"
"DB01063","Humans and other mammals"
"DB01064","Humans and other mammals"
"DB01065","Humans and other mammals"
"DB01066","Enteric bacteria and other eubacteria"
"DB01067","Humans and other mammals"
"DB01068","Humans and other mammals"
"DB01069","Humans and other mammals"
"DB01070","Humans and other mammals"
"DB01071","Humans and other mammals"
"DB01072","Human Immunodeficiency Virus"
"DB01073","Humans and other mammals"
"DB01074","Humans and other mammals"
"DB01075","Humans and other mammals"
"DB01076","Humans and other mammals"
"DB01077","Humans and other mammals"
"DB01078","Humans and other mammals"
"DB01079","Humans and other mammals"
"DB01080","Humans and other mammals"
"DB01081","Humans and other mammals"
"DB01082","Enteric bacteria and other eubacteria"
"DB01082","Mycobacteria"
"DB01082","Mycobacterium tuberculosis"
"DB01082","Yersinia pestis"
"DB01082","Francisella tularensis"
"DB01082","Staphylococcus aureus"
"DB01082","Enterococcus faecalis"
"DB01083","Humans and other mammals"
"DB01084","Humans and other mammals"
"DB01085","Humans and other mammals"
"DB01086","Humans and other mammals"
"DB01087","Plasmodium"
"DB01088","Humans and other mammals"
"DB01089","Humans and other mammals"
"DB01090","Humans and other mammals"
"DB01091","Fungi"
"DB01092","Humans and other mammals"
"DB01093","Humans and other mammals"
"DB01094","Humans and other mammals"
"DB01095","Humans and other mammals"
"DB01096","Schistosoma mansoni"
"DB01097","Humans and other mammals"
"DB01098","Humans and other mammals"
"DB01099","Yeast and other fungi"
"DB01100","Humans and other mammals"
"DB01101","Humans and other mammals"
"DB01102","Humans and other mammals"
"DB01103","Parasitic protozoa and helminths"
"DB01104","Humans and other mammals"
"DB01105","Humans and other mammals"
"DB01106","Humans and other mammals"
"DB01107","Humans and other mammals"
"DB01108","Humans and other mammals"
"DB01109","Humans and other mammals"
"DB01110","Fungi, yeast and protozoans"
"DB01111","Gram-negative bacilli"
"DB01112","Enteric bacteria and other eubacteria"
"DB01113","Humans and other mammals"
"DB01114","Humans and other mammals"
"DB01115","Humans and other mammals"
"DB01116","Humans and other mammals"
"DB01117","Plasmodium"
"DB01118","Humans and other mammals"
"DB01119","Humans and other mammals"
"DB01120","Humans and other mammals"
"DB01121","Humans and other mammals"
"DB01122","Humans and other mammals"
"DB01123","Enteric bacteria and other eubacteria"
"DB01124","Humans and other mammals"
"DB01125","Humans and other mammals"
"DB01126","Humans and other mammals"
"DB01127","Yeast and other fungi"
"DB01128","Humans and other mammals"
"DB01129","Humans and other mammals"
"DB01130","Humans and other mammals"
"DB01131","Plasmodium"
"DB01132","Humans and other mammals"
"DB01133","Humans and other mammals"
"DB01134","Humans and other mammals"
"DB01135","Humans and other mammals"
"DB01136","Humans and other mammals"
"DB01137","Enteric bacteria and other eubacteria"
"DB01138","Humans and other mammals"
"DB01139","Enteric bacteria and other eubacteria"
"DB01140","Enteric bacteria and other eubacteria"
"DB01141","Aspergillis, Candida and other fungi"
"DB01142","Humans and other mammals"
"DB01143","Humans and other mammals"
"DB01144","Humans and other mammals"
"DB01145","Enteric bacteria and other eubacteria"
"DB01146","Humans and other mammals"
"DB01147","Enteric bacteria and other eubacteria"
"DB01148","Humans and other mammals"
"DB01149","Humans and other mammals"
"DB01150","Enteric bacteria and other eubacteria"
"DB01151","Humans and other mammals"
"DB01152","Various Fungus Species"
"DB01153","Yeast and other fungi"
"DB01154","Humans and other mammals"
"DB01155","Enteric bacteria and other eubacteria"
"DB01156","Humans and other mammals"
"DB01157","Humans and other mammals"
"DB01157","Pneumocystis carinii"
"DB01157","Bacteria and protozoa"
"DB01158","Humans and other mammals"
"DB01159","Humans and other mammals"
"DB01160","Humans and other mammals"
"DB01161","Humans and other mammals"
"DB01162","Humans and other mammals"
"DB01163","Gram-negative Bacteria"
"DB01163","Staphylococcus saprophyticus"
"DB01163","Escherichia coli"
"DB01163","Proteus mirabilis"
"DB01164","Humans and other mammals"
"DB01165","Enteric bacteria and other eubacteria"
"DB01166","Humans and other mammals"
"DB01167","Fungi, yeast and protozoans"
"DB01168","Humans and other mammals"
"DB01169","Humans and other mammals"
"DB01170","Humans and other mammals"
"DB01171","Humans and other mammals"
"DB01172","Enteric bacteria and other eubacteria"
"DB01173","Humans and other mammals"
"DB01174","Humans and other mammals"
"DB01175","Humans and other mammals"
"DB01176","Humans and other mammals"
"DB01177","Humans and other mammals"
"DB01177","Bacteria"
"DB01178","Humans and other mammals"
"DB01179","Condyloma acuminatum"
"DB01180","Humans and other mammals"
"DB01181","Humans and other mammals"
"DB01182","Humans and other mammals"
"DB01183","Humans and other mammals"
"DB01184","Humans and other mammals"
"DB01185","Humans and other mammals"
"DB01186","Humans and other mammals"
"DB01187","Humans and other mammals"
"DB01188","Humans and other mammals"
"DB01188","Yeast and other fungi"
"DB01189","Humans and other mammals"
"DB01190","Enteric bacteria and other eubacteria"
"DB01191","Humans and other mammals"
"DB01192","Humans and other mammals"
"DB01193","Humans and other mammals"
"DB01194","Humans and other mammals"
"DB01195","Humans and other mammals"
"DB01196","Humans and other mammals"
"DB01197","Humans and other mammals"
"DB01198","Humans and other mammals"
"DB01199","Humans and other mammals"
"DB01200","Humans and other mammals"
"DB01201","Mycobacterium tuberculosis"
"DB01201","Mycobacterium"
"DB01202","Humans and other mammals"
"DB01203","Humans and other mammals"
"DB01204","Humans and other mammals"
"DB01205","Humans and other mammals"
"DB01206","Humans and other mammals"
"DB01207","Humans and other mammals"
"DB01208","Enteric bacteria and other eubacteria"
"DB01209","Humans and other mammals"
"DB01210","Humans and other mammals"
"DB01211","Enteric bacteria and other eubacteria"
"DB01211","Mycobacterium"
"DB01211","Streptococcus pyogenes"
"DB01211","Streptococcus pneumoniae"
"DB01211","Haemophilus influenzae"
"DB01211","Helicobacter pylori"
"DB01211","Mycobacterium leprae"
"DB01211","Mycobacterium avium"
"DB01212","Enteric bacteria and other eubacteria"
"DB01212","Neisseria meningitidis"
"DB01212","Haemophilus influenzae"
"DB01212","Neisseria gonorrhoeae"
"DB01212","Escherichia coli"
"DB01212","Salmonella typhi"
"DB01213","Humans and other mammals"
"DB01214","Humans and other mammals"
"DB01215","Humans and other mammals"
"DB01216","Humans and other mammals"
"DB01217","Humans and other mammals"
"DB01218","Plasmodium"
"DB01219","Humans and other mammals"
"DB01220","Enteric bacteria and other eubacteria"
"DB01221","Humans and other mammals"
"DB01222","Humans and other mammals"
"DB01223","Humans and other mammals"
"DB01224","Humans and other mammals"
"DB01225","Humans and other mammals"
"DB01226","Humans and other mammals"
"DB01227","Humans and other mammals"
"DB01228","Humans and other mammals"
"DB01229","Humans and other mammals"
"DB01230","Humans and other mammals"
"DB01231","Humans and other mammals"
"DB01232","Human Immunodeficiency Virus"
"DB01233","Humans and other mammals"
"DB01234","Humans and other mammals"
"DB01235","Humans and other mammals"
"DB01236","Humans and other mammals"
"DB01237","Humans and other mammals"
"DB01238","Humans and other mammals"
"DB01239","Humans and other mammals"
"DB01240","Humans and other mammals"
"DB01241","Humans and other mammals"
"DB01242","Humans and other mammals"
"DB01243","Humans and other mammals"
"DB01244","Humans and other mammals"
"DB01245","Humans and other mammals"
"DB01246","Humans and other mammals"
"DB01247","Humans and other mammals"
"DB01248","Humans and other mammals"
"DB01249","Humans and other mammals"
"DB01250","Humans and other mammals"
"DB01251","Humans and other mammals"
"DB01253","Humans and other mammals"
"DB01254","Humans and other mammals"
"DB01255","Humans and other mammals"
"DB01256","Bacteria"
"DB01257","Humans and other mammals"
"DB01259","Humans and other mammals"
"DB01260","Humans and other mammals"
"DB01261","Humans and other mammals"
"DB01262","Humans and other mammals"
"DB01263","Aspergillis, Candida and other fungi"
"DB01264","Human Immunodeficiency Virus"
"DB01265","Hepatitis B virus"
"DB01266","Humans and other mammals"
"DB01267","Humans and other mammals"
"DB01268","Humans and other mammals"
"DB01269","Humans and other mammals"
"DB01270","Humans and other mammals"
"DB01271","Humans and other mammals"
"DB01272","Humans and other mammals"
"DB01273","Humans and other mammals"
"DB01274","Humans and other mammals"
"DB01275","Humans and other mammals"
"DB01276","Humans and other mammals"
"DB01277","Humans and other mammals"
"DB01278","Humans and other mammals"
"DB01279","Humans and other mammals"
"DB01280","Humans and other mammals"
"DB01281","Humans and other mammals"
"DB01282","Humans and other mammals"
"DB01283","Humans and other mammals"
"DB01284","Humans and other mammals"
"DB01285","Humans and other mammals"
"DB01288","Humans and other mammals"
"DB01291","Humans and other mammals"
"DB01295","Humans and other mammals"
"DB01296","Humans and other mammals"
"DB01298","Bacteria"
"DB01303","Humans and other mammals"
"DB01306","Humans and other mammals"
"DB01307","Humans and other mammals"
"DB01309","Humans and other mammals"
"DB01319","Human Immunodeficiency Virus"
"DB01320","Humans and other mammals"
"DB01321","Enteric bacteria and other eubacteria"
"DB01324","Humans and other mammals"
"DB01325","Humans and other mammals"
"DB01326","Enteric bacteria and other eubacteria"
"DB01327","Enteric bacteria and other eubacteria"
"DB01328","Enteric bacteria and other eubacteria"
"DB01329","Enteric bacteria and other eubacteria"
"DB01330","Enteric bacteria and other eubacteria"
"DB01331","Enteric bacteria and other eubacteria"
"DB01332","Enteric bacteria and other eubacteria"
"DB01337","Humans and other mammals"
"DB01338","Humans and other mammals"
"DB01342","Humans and other mammals"
"DB01344","Humans and other mammals"
"DB01347","Humans and other mammals"
"DB01348","Humans and other mammals"
"DB01353","Humans and other mammals"
"DB01354","Humans and other mammals"
"DB01355","Humans and other mammals"
"DB01359","Humans and other mammals"
"DB01362","Humans and other mammals"
"DB01363","Humans and other mammals"
"DB01365","Humans and other mammals"
"DB01366","Humans and other mammals"
"DB01367","Humans and other mammals"
"DB01369","Enteric bacteria and other eubacteria"
"DB01369","Enterococcus faecalis"
"DB01373","Humans and other mammals"
"DB01380","Humans and other mammals"
"DB01382","Humans and other mammals"
"DB01384","Humans and other mammals"
"DB01388","Humans and other mammals"
"DB01390","Humans and other mammals"
"DB01392","Humans and other mammals"
"DB01393","Humans and other mammals"
"DB01394","Humans and other mammals"
"DB01395","Humans and other mammals"
"DB01396","Humans and other mammals"
"DB01399","Humans and other mammals"
"DB01400","Humans and other mammals"
"DB01403","Humans and other mammals"
"DB01405","Enteric bacteria and other eubacteria"
"DB01406","Humans and other mammals"
"DB01407","Humans and other mammals"
"DB01408","Humans and other mammals"
"DB01409","Humans and other mammals"
"DB01410","Humans and other mammals"
"DB01411","Humans and other mammals"
"DB01413","Enteric bacteria and other eubacteria"
"DB01414","Enteric bacteria and other eubacteria"
"DB01415","Enteric bacteria and other eubacteria"
"DB01416","Enteric bacteria and other eubacteria"
"DB01418","Humans and other mammals"
"DB01420","Humans and other mammals"
"DB01421","Enteric bacteria and other eubacteria"
"DB01423","Humans and other mammals"
"DB01424","Humans and other mammals"
"DB01426","Humans and other mammals"
"DB01427","Humans and other mammals"
"DB01428","Humans and other mammals"
"DB01430","Humans and other mammals"
"DB01432","Humans and other mammals"
"DB01433","Humans and other mammals"
"DB01434","Humans and other mammals"
"DB01435","Humans and other mammals"
"DB01436","Humans and other mammals"
"DB01437","Humans and other mammals"
"DB01438","Humans and other mammals"
"DB01439","Humans and other mammals"
"DB01440","Humans and other mammals"
"DB01441","Humans and other mammals"
"DB01442","Humans and other mammals"
"DB01443","Humans and other mammals"
"DB01444","Humans and other mammals"
"DB01445","Humans and other mammals"
"DB01452","Humans and other mammals"
"DB01463","Humans and other mammals"
"DB01466","Humans and other mammals"
"DB01481","Humans and other mammals"
"DB01486","Humans and other mammals"
"DB01497","Humans and other mammals"
"DB01515","Humans and other mammals"
"DB01520","Humans and other mammals"
"DB01541","Humans and other mammals"
"DB01544","Humans and other mammals"
"DB01549","Humans and other mammals"
"DB01558","Humans and other mammals"
"DB01559","Humans and other mammals"
"DB01560","Humans and other mammals"
"DB01562","Humans and other mammals"
"DB01564","Humans and other mammals"
"DB01567","Humans and other mammals"
"DB01571","Humans and other mammals"
"DB01576","Humans and other mammals"
"DB01577","Humans and other mammals"
"DB01578","Humans and other mammals"
"DB01579","Humans and other mammals"
"DB01580","Humans and other mammals"
"DB01583","Humans and other mammals"
"DB01586","Humans and other mammals"
"DB01588","Humans and other mammals"
"DB01589","Humans and other mammals"
"DB01590","Humans and other mammals"
"DB01591","Humans and other mammals"
"DB01592","Humans and other mammals"
"DB01593","Humans and other mammals"
"DB01594","Humans and other mammals"
"DB01595","Humans and other mammals"
"DB01597","Humans and other mammals"
"DB01598","Enteric bacteria and other eubacteria"
"DB01599","Humans and other mammals"
"DB01600","Humans and other mammals"
"DB01601","Human Immunodeficiency Virus"
"DB01602","Enteric bacteria and other eubacteria"
"DB01603","Enteric bacteria and other eubacteria"
"DB01603","Gram-positive Bacteria"
"DB01603","Streptococcus pyogenes"
"DB01603","Streptococcus pneumoniae"
"DB01603","Staphylococcus aureus"
"DB01603","Staphylococcus epidermidis"
"DB01604","Enteric bacteria and other eubacteria"
"DB01605","Enteric bacteria and other eubacteria"
"DB01606","Humans and other mammals"
"DB01607","Enteric bacteria and other eubacteria"
"DB01608","Humans and other mammals"
"DB01609","Humans and other mammals"
"DB01610","Human Herpes Virus"
"DB01611","Plasmodium"
"DB01612","Humans and other mammals"
"DB01613","Humans and other mammals"
"DB01614","Humans and other mammals"
"DB01615","Humans and other mammals"
"DB01616","Humans and other mammals"
"DB01618","Humans and other mammals"
"DB01619","Humans and other mammals"
"DB01620","Humans and other mammals"
"DB01621","Humans and other mammals"
"DB01622","Humans and other mammals"
"DB01623","Humans and other mammals"
"DB01624","Humans and other mammals"
"DB01625","Humans and other mammals"
"DB01626","Humans and other mammals"
"DB01627","Enteric bacteria and other eubacteria"
"DB01628","Humans and other mammals"
"DB01638","Humans and other mammals"
"DB01645","Humans and other mammals"
"DB01645","Helminthic Microorganisms"
"DB01645","Parasitic nematodes and other roundworms"
"DB01656","Humans and other mammals"
"DB01665","Humans and other mammals"
"DB01669","Bacteria"
"DB01678","Humans and other mammals"
"DB01686","Humans and other mammals"
"DB01698","Humans and other mammals"
"DB01708","Humans and other mammals"
"DB01764","Enteric bacteria and other eubacteria"
"DB01764","Enterococcus faecalis"
"DB01783","Humans and other mammals"
"DB01791","Humans and other mammals"
"DB01956","Humans and other mammals"
"DB02071","Humans and other mammals"
"DB02187","Humans and other mammals"
"DB02300","Humans and other mammals"
"DB02325","Humans and other mammals"
"DB02342","Humans and other mammals"
"DB02383","Humans and other mammals"
"DB02527","Humans and other mammals"
"DB02546","Humans and other mammals"
"DB02638","Humans and other mammals"
"DB02703","Enteric bacteria and other eubacteria"
"DB02709","Humans and other mammals"
"DB02877","Humans and other mammals"
"DB02901","Humans and other mammals"
"DB02959","Humans and other mammals"
"DB02968","Treponema pallidum"
"DB02968","Streptococcus pyogenes"
"DB02968","Streptococcus pneumoniae"
"DB02968","Streptococcus agalactiae"
"DB02968","Staphylococcus saprophyticus"
"DB02968","Neisseria meningitidis"
"DB02968","Leptospira interrogans"
"DB02968","Clostridium perfringens"
"DB02998","Humans and other mammals"
"DB03010","Humans and other mammals"
"DB03088","Humans and other mammals"
"DB03147","Humans and other mammals"
"DB03166","Bacteria"
"DB03177","Mycobacterium"
"DB03193","Humans and other mammals"
"DB03255","Humans and other mammals"
"DB03326","Humans and other mammals"
"DB03348","Humans and other mammals"
"DB03424","Humans and other mammals"
"DB03501","Humans and other mammals"
"DB03516","Humans and other mammals"
"DB03575","Humans and other mammals"
"DB03615","Humans and other mammals"
"DB03615","Enteric bacteria and other eubacteria"
"DB03619","Humans and other mammals"
"DB03766","Humans and other mammals"
"DB03783","Humans and other mammals"
"DB03852","Humans and other mammals"
"DB03880","Humans and other mammals"
"DB03966","Enteric bacteria and other eubacteria"
"DB04209","Candida albicans and other yeasts"
