primary_key,name,indication,symptoms
DB00255,Diethylstilbestrol,Used in the treatment of prostate cancer. Previously used in the prevention of miscarriage or premature delivery in pregnant women prone to miscarriage or premature delivery.,"['(E)-3,4-bis(4-hydroxyphenyl)-3-hexene', ""(E)-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol"", ""4,4'-dihydroxy-a,ß-diethylstilbene"", 'DES', 'Diethylstilbestrol', 'Stilboestrol', ""trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol"", 'trans-Diethylstilbesterol', 'trans-Diethylstilbestrol', 'trans-Diethylstilboesterol', ""a,a'-diethyl-(E)-4,4'-stilbenediol""]"
DB00256,Lymecycline,"For the treatment of infections and to treat acne. It may also be used to treat urinary tract infections, gum disease, and other bacterial infections such as gonorrhea and chlamydia. Lymecycline is also used commonly as a prophylactic treatment for infection by <i>Bacillus anthracis</i> (anthrax). It is also effective against <i>Yersinia pestis</i> and malaria and is also prescribed for the treatment of Lyme disease.","['(+)-N-(5-Amino-5-carboxypentylaminomethyl)-4-dimethylamino-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxonaphthacene-2-carboxamide', 'Lymecycline', 'N-Lysinomethyltetracycline', 'N2-(((+)-5-Amino-5-carboxypentylamino)methyl)tetracycline', 'N6-((4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamido)methyl)lysine', 'Tetracycline-L-methylene lysine', 'Tetracycline-L-methylenelysine']"
DB00257,Clotrimazole,"**Topical preparations**

Clotrimazole topical cream is indicated for the topical treatment of the following dermal infections [F3088], [F3121]:

Tinea pedis, tinea cruris, and tinea corporis due to _Trichophyton rubrum_, _Trichophyton mentagrophytes_, _Epidermophyton floccosum_

Candidiasis due to _Candida albicans_

Tinea versicolor due to _Malassezia furfur_

Diaper rash infected by _Candida albicans_


In some preparations, clotrimazole may be combined with betamethasone dipropionate, a corticosteroid [F3121]. 

**Oral preparations**

The oral troche preparation is indicated for the local treatment of oropharyngeal candidiasis [FDA label].  It is also indicated as a prophylactic drug to reduce the incidence of oropharyngeal candidiasis in patients immunocompromised by conditions such as chemotherapy, radiotherapy, or steroid therapy utilized in the treatment of leukemia, solid tumors, or renal transplantation [FDA label]. Troche preparations are not indicated for the treatment of any systemic mycoses [FDA label].","['1-((2-Chlorophenyl)diphenylmethyl)-1H-imidazole', '1-(o-Chloro-a,a-diphenylbenzyl)imidazole', '1-(o-Chlorotrityl)imidazole', '1-(a-(2-Chlorophenyl)benzhydryl)imidazole', 'Clotrimazole']"
DB00258,Calcium acetate,Calcium acetate is one of a number of calcium salts used to treat hyperphosphatemia (too much phosphate in the blood) in patients with kidney disease.,"['Acetate of lime', 'Brown acetate of lime', 'Calcium acetate', 'calcium ethanoate', 'calcium(II) acetate', 'Gray acetate of lime', 'Lime acetate', 'Lime pyrolignite']"
DB00259,Sulfanilamide,For the treatment of vulvovaginitis caused by <i>Candida albicans</i>.,"['4-aminobenzene sulfonic acid amide', '4-azanylbenzenesulfonamide', 'p-aminobenzenesulfamide', 'p-aminobenzenesulfonamide', 'para-aminobenzenesulfonamide', 'Prontosil album', 'SA', 'Streptocide', 'Sulfamine', 'Sulfanilamide', 'Sulphanilamide']"
DB00260,Cycloserine,Used in combination with up to 5 other drugs as a treatment for Mycobacterium avium complex (MAC) and is also used to treat tuberculosis (TB).,"['(+)-4-amino-3-isoxazolidinone', '(+)-cycloserine', 'alpha-Cycloserine', 'cyclo-D-Serine', 'Cycloserine', 'D-(+)-cycloserine', 'D-4-amino-3-isoxazolidinone', 'D-4-amino-3-isoxazolidone', 'D-Cycloserine', 'DCS', 'Orientomycin', 'a-Cycloserine']"
DB00261,Anagrelide,"For the treatment of patients with thrombocythemia, secondary to myeloproliferative disorders, to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms including thrombo-hemorrhagic events.",['Anagrelide']
DB00262,Carmustine,"For the treatment of brain tumors, multiple myeloma, Hodgkin's disease and Non-Hodgkin's lymphomas.","['BCNU', 'bis-chloroethylnitrosourea', 'Bischloroethyl nitrosourea', ""N,N'-Bis(2-chloroethyl)-N-nitrosourea""]"
DB00263,Sulfisoxazole,"For the treatment of severe, repeated, or long-lasting urinary tract infections, meningococcal meningitis, acute otitis media, trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis, malaria and other bacterial infections.","['3,4-Dimethyl-5-sulfanilamidoisoxazole', '3,4-Dimethyl-5-sulfonamidoisoxazole', '3,4-Dimethyl-5-sulphanilamidoisoxazole', '3,4-Dimethyl-5-sulphonamidoisoxazole', '3,4-Dimethylisoxazole-5-sulfanilamide', '3,4-Dimethylisoxazole-5-sulphanilamide', '4-Amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulfonamide', '4-Amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulphonamide', '5-(4-Aminophenylsulfonamido)-3,4-dimethylisoxazole', '5-(p-Aminobenzenesulfonamido)-3,4-dimethylisoxazole', '5-(p-Aminobenzenesulphonamido)-3,4-dimethylisoxazole', '5-Sulfanilamido-3,4-dimethylisoxazole', '5-Sulphanilamido-3,4-dimethyl-isoxazole', ""N'-(3,4)Dimethylisoxazol-5-yl-sulphanilamide"", 'N1-(3,4-dimethyl-5-isoxazolyl)sulfanilamide', 'N1-(3,4-dimethyl-5-isoxazolyl)sulphanilamide', 'Sulfadimethylisoxazole', 'Sulfafurazol', 'Sulfafurazole', 'Sulfaisoxazole', 'Sulfasoxazole', 'Sulfisonazole', 'Sulfisoxasole', 'Sulfisoxazol', 'Sulfisoxazole', 'Sulfofurazole', 'Sulphadimethylisoxazole', 'Sulphafurazol', 'Sulphafurazole', 'Sulphaisoxazole', 'Sulphisoxazol', 'Sulphofurazole']"
DB00264,Metoprolol,"Metoprolol is indicated for the treatment of angina, heart failure, myocardial infarction, atrial fibrillation, atrial flutter and hypertension.[A175141]

Some off-label uses of metoprolol include supraventricular tachycardia and thyroid storm.[A175141]

All the indications of metoprolol are part of cardiovascular diseases. These conditions correspond to a number of diseases that involve the function of the heart and blood vessels. The underlying causes of these conditions are variable and can be due to genetic disposition, lifestyle decisions such as smoking, obesity, diet, and lack of exercise, and comorbidity with other conditions such as diabetes. The cardiovascular diseases are the leading cause of death on a global scale.[L5533]","['(RS)-Metoprolol', '1-(isopropylamino)-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol', 'DL-metoprolol', 'Metoprolol']"
DB00265,Crotamiton,For eradication of scabies (<i>Sarcoptes scabiei</i>) and for symptomatic treatment of pruritic skin.,['Crotamiton']
DB00266,Dicoumarol,For decreasing blood clotting. Often used along with heparin for treatment of deep vein thrombosis.,"[""3,3'-methylenebis(4-hydroxy-1,2-benzopyrone)"", ""3,3'-methylenebis(4-hydroxy-2H-1-benzopyran-2-one)"", ""3,3'-methylenebis(4-hydroxycoumarin)"", ""bis-3,3'-(4-hydroxycoumarinyl)methane"", 'bis-hydroxycoumarin', 'bis(4-hydroxycoumarin-3-yl)methane', 'di-(4-hydroxy-3-coumarinyl)methane']"
DB00267,Cefmenoxime,Used to treat female gynecologic and obstetric infections caused by susceptible aerobic (including the gonococcus) and anaerobic bacteria.,"['(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid', 'Cefmenoxime', 'CMX']"
DB00268,Ropinirole,For the treatment of the signs and symptoms of Parkinson's disease and for the treatment of primary moderate-severe restless legs syndrome [FDA label].,['Ropinirole']
DB00269,Chlorotrianisene,"Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth.","['Chloortrianisestrol', 'Chlorestrolo', 'Chlorotrianisene', 'Chlorotrianisine', 'Chlorotrianizen', 'Chlortrianisen', 'Chlortrianisestrol', 'Chlortrianisoestrolum', 'Chlortrianizen']"
DB00270,Isradipine,For the management of mild to moderate essential hypertension. It may be used alone or concurrently with thiazide-type diuretics.,['Isradipine']
DB00271,Diatrizoate,"Used, alone or in combination, for a wide variety of diagnostic imaging methods, including angiography, urography, cholangiography, computed tomography, hysterosalpingography, and retrograde pyelography. It can be used for imaging the gastrointestinal tract in patients allergic to barium.","['2,4,6-Triiodo-3,5-diacetamidobenzoic acid', '3,5-Bis(acetylamino)-2,4,6-triiodobenzoic acid', '3,5-diacetamido-2,4,6-triiodobenzoic acid', 'Amidotrizoate', 'Amidotrizoic Acid', 'Amidotrizoic acid (anhydrous)', 'Diatrizoic acid', 'Diatrizoic acid (anhydrous)', 'Methalamic acid', 'Triombrin', 'Urografin acid', 'Urogranoic acid']"
DB00272,Betazole,For use clinically to test gastric secretory function.,"['1H-pyrazole-3-ethanamine', '2-(1H-pyrazol-5-yl)ethanamine', '2-(3-pyrazolyl)ethylamine', '3-(2-aminoethyl)pyrazole', '3-(beta-aminoethyl)pyrazole', '3-(ß-aminoethyl)pyrazole', 'Ametazole', 'Betazole']"
DB00273,Topiramate,"Topiramate is indicated  for the following conditions:

- Monotherapy for partial onset or primary generalized tonic-clonic seizures in patients over 2 years of age. 

- Adjunctive therapy for partial onset seizures or primary generalized tonic-clonic seizures for adult and pediatric patients.

- Adjunctive therapy for seizures associated with Lennox-Gastaut syndrome in patients over 2 years of age.

- Prophylaxis of migraine headache in adults.[FDA label]

A seizure is an abnormal, unregulated electrical discharge occurring in the brain's cortical gray matter. This electrical response produces a transient interruption in the normal brain function which in order produces altered awareness, abnormal sensations, focal involuntary movements or convulsions. The type of seizure can be classified according to the type of onset followed by a type of seizure.[L5548]

A migraine headache is a [ulsating or throbbing pain that can be presented in one of both sides of the head and it can be worsened by external stimuli such as physical activity, light, sounds, and odors.[L5551]

Topiramate has been commonly investigated and used off-label for weight reduction in patients with obesity or diabetes.[A175240]","['2,3:4,5-bis-O-(1-methylethylidene)-ß-D-fructopyranose sulfamate', '2,3:4,5-di-O-isopropylidene-ß-D-fructopyranose sulfamate', 'Topiramate', 'TPM']"
DB00274,Cefmetazole,For the treatment of infections caused by susceptible organisms.,"['(6R,7S)-7-({[(cyanomethyl)sulfanyl]acetyl}amino)-7-methoxy-3-{[(1-methyl-1H-tetrazol-5-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid', 'Cefmetazole']"
DB00275,Olmesartan,"Olmesartan is indicated for the treatment of hypertension either alone or associated with other antihypertensive agents.[FDA label]

Hypertension is a sustained elevation of resting blood pressure. The hypertensive effect can affect the systolic blood pressure, diastolic blood pressure or both. This condition tends to be asymptomatic until it reaches a severe or long-standing state.[L5569]","[""4-(1-hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid"", ""4-(hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)-1,1'-biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid"", 'Olmesartan']"
DB00276,Amsacrine,For treatment of acute myeloid leukaemia.,"[""4'-(9-Acridinylamino)-3'-methoxymethanesulfonanilide"", ""4'-(9-Acridinylamino)methanesulfon-m-anisidide"", ""4'-(9-Acridinylamino)methanesulfon-meta-anisidide"", ""4'-(9-Acridinylamino)methanesulphon-m-anisidide"", 'Acridinyl anisidide', 'Amsacrine', 'm-AMSA', 'mAMSA']"
DB00277,Theophylline,"For the treatment of the symptoms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis.","['1,3-dimethyl-7H-purine-2,6-dione', '1,3-dimethylxanthine', 'Theophyllin', 'Theophylline anhydrous', 'Theophylline, anhydrous']"
DB00278,Argatroban,"Argatroban is indicated for prevention and treatment of thrombosis caused by heparin induced thrombocytopenia (HIT). It is also indicated for use in patients with, or at risk for, HIT who are undergoing percutaneous coronary intervention.","['Argatroban', 'Argatroban anhydrous']"
DB00279,Liothyronine,"Liothyronine is officially approved for the following indications:

- Replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism.

- As an adjunct therapy to surgery and radioiodine in the management of thyroid cancer.

- As a diagnostic agent in suppression tests for mild hyperthyroidism or thyroid gland autonomy.[FDA label]

In general terms, exogenous liothyronine is used to replace insufficient hormonal production and restore T3 plasma levels.[T457]

The lack of liothyronine can be presented as a pale and puffy face, coarse,  brittle hair, dry skin, croaky voice and constipation as well as irregular periods, drowsiness, and lethargy.[T457]

Liothyronine should never be used in the suppression of benign nodules and nontoxic diffuse goiter in iodine-sufficient patients nor in the treatment of hyperthyroidism during the recovery phase of subacute thyroiditis.[FDA label]","[""3,3',5-triiodo-L-thyronine"", ""3,5,3'-Triiodo-L-thyronine"", ""3,5,3'-Triiodothyronine"", '4-(4-hydroxy-3-iodophenoxy)-3,5-diiodo-L-phenylalanine', ""L-3,5,3'-Triiodothyronine"", 'L-T3', 'O-(4-hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine', 'T3', 'Triiodothyronine']"
DB00280,Disopyramide,"For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug.",['Disopyramide']
DB00281,Lidocaine,"Lidocaine is an anesthetic of the amide group indicated for production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks [F4349, L5930].","[""2-(Diethylamino)-2',6'-acetoxylidide"", '2-(Diethylamino)-N-(2,6-dimethylphenyl)acetamide', 'alpha-diethylamino-2,6-dimethylacetanilide', 'Lidocaine', 'Lignocaine', 'a-diethylamino-2,6-dimethylacetanilide']"
DB00282,Pamidronic acid,For the treatment of moderate or severe hypercalcemia associated with malignancy,"['Pamidronate', 'Pamidronic acid']"
DB00283,Clemastine,"For the relief of symptoms associated with allergic rhinitis such as sneezing, rhinorrhea, pruritus and acrimation. Also for the management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Used as self-medication for temporary relief of symptoms associated with the common cold.","['(+)-(2R)-2-(2-(((R)-p-chloro-a-methyl-a-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine', '(+)-(2R)-2-[2-[[(R)-p-chloro-a-methyl-a-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine', 'Clemastine']"
DB00284,Acarbose,For treatment and management of diabetes type II (used in combination therapy as a second or third line agent),
DB00285,Venlafaxine,"Venlafaxine is indicated in the management of major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder (social phobia), and panic disorder with or without agoraphobia. Venlafaxine is also used off-label for prophylaxis of migraine headaches [A177229], for reduction of vasomotor symptoms associated with menopause [A177238], and for management of neuropathic pain (although there is only minimal evidence of efficacy for this condition) [A177232]. It is also considered a second-line option for management of obsessive-compulsive disorder (OCD) [A177226, A177235].",
DB00286,Conjugated estrogens,"The conjugated estrogens are indicated for several different conditions including:

- Treatment of moderate to severe vasomotor symptoms due to menopause.
- Treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause.
- Treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure.
- Palliative treatment of breast cancer in appropriately selected patients with metastatic disease.
- Palliative treatment of androgen-dependent carcinoma of the prostate.
- Preventive therapy of postmenopausal osteoporosis.[A38238]","['Conjugated equine estrogens', 'conjugated estrogens', 'Estrogens, Conjugated', 'Estrogens,conjugated']"
DB00287,Travoprost,"Travoprost ophthalmic solution is indicated for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension [F3061, F3064, L5146].

Travoprost is also currently indicated for the decrease of elevated intraocular pressure in paediatric patients aged 2 months to < 18 years with ocular hypertension or paediatric glaucoma [L5146].","['isopropyl (Z)-7-((1R,2R,3R,5S)-3,5-dihydroxy-2-{(1E,3R)-3-hydroxy-4-[(a,a,a-trifluoro-m-tolyl)oxy]-1-butenyl}cyclopentyl)-5-heptenoate']"
DB00288,Amcinonide,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,['Triamcinolonacetatcyclopentanonid']
DB00289,Atomoxetine,Atomoxetine is indicated for the treatment of attention deficit hyperactivity disorder (ADHD) in children and adults.,"['(-)-Tomoxetine', 'Atomoxetine', 'Tomoxetine']"
DB00290,Bleomycin,"For palliative treatment in the management malignant neoplasm (trachea, bronchus, lung), squamous cell carcinoma, and lymphomas.","['Bleocin', 'Bleomicin', 'Bleomycin']"
DB00291,Chlorambucil,"For treatment of chronic lymphatic (lymphocytic) leukemia,  childhood minimal-change nephrotic syndrome, and malignant lymphomas including lymphosarcoma, giant follicular lymphoma, Hodgkin's disease,  non-Hodgkin's lymphomas, and Waldenströms Macroglobulinemia.","['4-(p-bis(beta-chloroethyl)aminophenyl)butyric acid', '4-(p-bis(ß-chloroethyl)aminophenyl)butyric acid', '4-[p-[bis(2-chloroethyl)amino]phenyl]butyric acid', 'Ambochlorin', 'Chlorambucil', 'Chloraminophen', 'gamma-[p-di(2-chloroethyl)aminophenyl]butyric acid', 'N,N-di-2-chloroethyl-gamma-p-aminophenylbutyric acid', 'N,N-di-2-chloroethyl-<U+03B3>-p-aminophenylbutyric acid', 'Phenylbutyric acid nitrogen mustard', '<U+03B3>-[p-di(2-chloroethyl)aminophenyl]butyric acid']"
DB00292,Etomidate,Used in the induction of general anesthesia.,"['(+)-ethyl 1-(a-methylbenzyl)imidazole-5-carboxylate', '(+)-etomidate', '(R)-(+)-1-(a-methylbenzyl)imidazole-5-carboxylic acid ethyl ester', '(R)-1-(1-phenylethyl)-1H-imidazole-5-carboxylic acid ethyl ester', '3-((R)-1-Phenyl-ethyl)-3H-imidazole-4-carboxylic acid ethyl ester', 'Etomidate', 'R-(+)-ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate']"
DB00293,Raltitrexed,For the treatment of malignant neoplasm of colon and rectum,['Raltitrexed']
DB00294,Etonogestrel,"Etonogestrel is administered in subdermal implants as long-acting reversible contraception. It is known to be effective in postpartum insertion including breastfeeding women.[A175990]

Etonogestrel is part of the long-acting contraceptive implants that prevent pregnancy. The implant's effect can remain for 5 years.[L5698]","['3-Ketodesogestrel', '3-Oxodesogestrel']"
DB00295,Morphine,"Morphine is used for the management of chronic moderate-to-severe pain.[A176050]

Opioids, including morphine, can manage pain effectively when used for a short amount of time. The use of opioids for longer periods needs to be monitored as they can develop a physical dependence, addiction disorder and drug abuse.[L5728]","['(-)-morphine', '(5alpha,6alpha)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol', '(5alpha,6alpha)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol', '(5R,6S,9R,13S,14R)-4,5-epoxy-N-methyl-7-morphinen-3,6-diol', '(5a,6a)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol', '(5a,6a)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol', '(7R,7AS,12bs)-3-methyl-2,3,4,4a,7,7a-hexahydro-1H-4,12-methano[1]benzofuro[3,2-e]isoquinoline-7,9-diol', 'Anhydrous morphine', 'Morphia', 'Morphine', 'Morphium']"
DB00296,Ropivacaine,Used in obstetric anesthesia and regional anesthesia for surgery.,"[""(S)-(-)-1-propyl-2',6'-pipecoloxylidide"", '(S)-ropivacaine', 'L-N-n-propylpipecolic acid-2,6-xylidide', 'Ropivacaine']"
DB00297,Bupivacaine,"For the production of local or regional anesthesia or analgesia for surgery, for oral surgery procedures, for diagnostic and therapeutic procedures, and for obstetrical procedures.","['(±)-bupivacaine', '(RS)-bupivacaine', ""1-Butyl-2',6'-pipecoloxylidide"", '1-Butyl-N-(2,6-dimethylphenyl)-2-piperidinecarboxamide', 'Bupivacaine', ""dl-1-Butyl-2',6'-pipecoloxylidide"", 'DL-Bupivacaine', 'racemic bupivacaine']"
DB00298,Dapiprazole,Used in the treatment of iatrogenically induced mydriasis produced by adrenergic (phenylephrine) or parasympatholytic (tropicamide) agents used in certain eye examinations.,"['5,6,7,8-Tetrahydro-3-(2-(4-(o-tolyl)-1-piperazinyl)ethyl)-s-triazolo(4,3-a)pyridine']"
DB00299,Penciclovir,Used to treat recurrent cold sores on the lips and face from various herpesvirus invections.,"['9-(4-hydroxy-3-(hydroxymethyl)butyl)guanine', '9-(4-hydroxy-3-hydroxymethylbut-1-yl)-guanine', '9-[2-hydroxy-1-(hydroxymethyl)-ethoxymethyl]guanine', '9-[4-hydroxy-3-(hydroxymethyl)but-1-yl]guanine', 'PCV', 'PE2']"
DB00300,Tenofovir disoproxil,"Tenofovir is indicated in combination with other antiretroviral agents for the management of HIV-1 infection in adults and pediatric patients 2 years of age and older. It is also indicated for the treatment of chronic hepatitis B in adults and pediatric patients 12 years of age and older [FDA label]. This drug is also a component of multiple products used for the management of HIV-1 infection [F3418], [F3421]. 

Safety and effectiveness of tenofovir disoproxil in pediatric patients younger than 2 years of age has not been established to this date [FDA label].","['Bis(POC)PMPA', 'Tenofovir bis(isopropyloxycarbonyloxymethyl) ester']"
DB00301,Flucloxacillin,Used to treat bacterial infection by susceptible microorganisms.,"['(2S,5R,6R)-6-({[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid', '3-(2-Chloro-6-fluorophenyl)-5-methyl-4-isoxazolylpenicillin', 'Floxacillin', 'Flucloxacillin']"
DB00302,Tranexamic acid,"For use in patients with hemophilia for short term use (two to eight days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction. It can also be used for excessive bleeding in menstruation, surgery, or trauma cases.","['Tranexamic acid', 'Tranexmic acid', 'Tranhexamic acid', 'Trans AMCHA', 'trans-4-(Aminomethyl)cyclohexanecarboxylic acid', 'trans-4-aminomethylcyclohexane-1-carboxylic acid', 'trans-Amcha', 'trans-Tranexamic acid']"
DB00303,Ertapenem,"For the treatment the following moderate to severe infections caused by susceptible isolates of the designated microorganisms: (1) complicated intra-abdominal infections due to <i>Escherichia coli</i>, <i>Clostridium clostridioforme</i>, <i>Eubacterium lentum</i>, <i>Peptostreptococcus</i> species, <i>Bacteroides fragilis</i>, <i>Bacteroides distasonis</i>, <i>Bacteroides ovatus</i>, <i>Bacteroides thetaiotaomicron</i>, or <i>Bacteroides uniformis</i>, (2) complicated skin and skin structure infections, including diabetic foot infections without osteomyelitis due to <i>Staphylococcus aureus</i> (methicillin susceptible isolates only), <i>Streptococcus agalactiae</i>, <i>Streptococcus pyogenes</i>, <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, <i>Proteus mirabilis</i>, <i>Bacteroides fragilis</i>, <i>Peptostreptococcus</i> species, <i>Porphyromonas asaccharolytica</i>, or <i>Prevotella bivia</i>, (3) community acquired pneumonia due to <i>Streptococcus pneumoniae</i> (penicillin susceptible isolates only) including cases with concurrent bacteremia, <i>Haemophilus influenzae</i> (beta-lactamase negative isolates only), or <i>Moraxella catarrhalis</i>, (4) complicated urinary tract infections including pyelonephritis due to <i>Escherichia coli</i>, including cases with concurrent bacteremia, or <i>Klebsiella pneumoniae</i>, (5) acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections due to <i>Streptococcus agalactiae</i>, <i>Escherichia coli</i>, <i>Bacteroides fragilis</i>, <i>Porphyromonas asaccharolytica</i>, <i>Peptostreptococcus</i> species, or <i>Prevotella bivia</i>.","[""(1R,5S,6S,8R,2'S,4'S)-2-(2-(3-carboxyphenylcarbamoyl)pyrrolidin-4-ylthio)-6-(1-hydroxyethyl)-1-methylcarbapenem-3-carboxylic acid"", '(4R,5S,6S)-3-((3S,5S)-5-((3-carboxyphenyl)carbamoyl)pyrrolidin-3-ylthio)-6-((R)-1-hydroxyethyl)-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid', 'Ertapenem']"
DB00304,Desogestrel,"Oral desogestrel is used in combination with [ethinylestradiol] as a contraceptive agent for the prevention of pregnancy.[FDA label]

Desogestrel is part of the combined oral contraceptives that contain a mix of estrogen and progestin which inhibit ovulation.[L5698]","['13-Ethyl-11-methylene-18,19-dinor-17a-pregn-4-en-20-yn-17-ol']"
DB00305,Mitomycin,"For treatment of malignant neoplasm of lip, oral cavity, pharynx, digestive organs, peritoneum, female breast, and urinary bladder. Also used as an adjunct to ab externo glaucoma surgery.","['7-Amino-9alpha-methoxymitosane', 'Ametycine', 'Mitamycin', 'Mitocin-C', 'Mitomycin', 'Mitomycin C', 'MMC']"
DB00306,Talbutal,For use as a sedative and hypnotic.,"['(RS)-5-allyl-5-sec-butylpyrimidine-2,4,6(1H,3H,5H)-trione', '5-allyl-5-sec-butylbarbituric acid', 'sec-Butyl allyl barbituric acid', 'Talbutal']"
DB00307,Bexarotene,Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.,"['4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid', '4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid', 'Bexarotene', 'p-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid']"
DB00308,Ibutilide,Indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm.,"['Ibutilide', 'N-(4-{4-[ethyl(heptyl)amino]-1-hydroxybutyl}phenyl)methanesulfonamide']"
DB00309,Vindesine,"For the treatment of acute leukaemia, malignant lymphoma, Hodgkin's disease, acute erythraemia and acute panmyelosis","['3-(aminocarbonyl)-O4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine', '3-carbamoyl-4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine', 'Desacetylvinblastine amide', 'Vindesine']"
DB00310,Chlorthalidone,"Chlorthalidone is indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.

Chlorthalidone is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy.

Chlorthalidone has also been found useful in edema due to various forms of renal dysfunction, such as nephrotic syndrome, acute glomerulonephritis, and chronic renal failure.","[""1-keto-3-(3'-sulfamyl-4'-chlorophenyl)-3-hydroxyisoindoline"", '1-oxo-3-(3-sulfamyl-4-chlorophenyl)-3-hydroxyisoindoline', '2-chloro-5-(1-hydroxy-3-oxo-1-isoindolinyl)benzenesulfonamide', '2-chloro-5-(2,3-dihydro-1-hydroxy-3-oxo-1H-isoindol-1-yl)benzenesulfonamide', ""3-(4'-chloro-3'-sulfamoylphenyl)-3-hydroxyphthalimidine"", '3-hydroxy-3-(4-chloro-3-sulfamylphenyl)phthalimidine', 'Chlorphthalidolone', 'Chlortalidone', 'Chlorthalidone', 'Phthalamodine', 'Phthalamudine']"
DB00311,Ethoxzolamide,"For use in the treatment of duodenal ulcers, as a diuretic, and in the treatment of glaucoma, and may also be useful in the treatment of seizures associated with epilepsy.","['6-Ethoxy-1,3-benzothiazole-2-sulfonamide', 'Ethoxazolamide', 'Ethoxyzolamide']"
