"primary_key","category_Categories","mesh-id_Categories"
"DB00404","Ethanol","D000431"
"DB00404","Ethanolamines","D004983"
"DB00404","GABA Agents","D018682"
"DB00404","GABA Modulators","D018757"
"DB00404","Hypnotics and Sedatives","D006993"
"DB00404","Nervous System","D009420"
"DB00404","Neurotransmitter Agents","D018377"
"DB00404","Psycholeptics",NA
"DB00404","Psychotropic Drugs","D011619"
"DB00404","Tranquilizing Agents","D014149"
"DB00404","Triazolobenzodiazepines",NA
"DB00405","Antihistamines for Systemic Use",NA
"DB00405","Central Nervous System Depressants","D002492"
"DB00405","Histamine Agents","D018494"
"DB00405","Histamine Antagonists","D006633"
"DB00405","Histamine H1 Antagonists","D006634"
"DB00405","Neurotransmitter Agents","D018377"
"DB00405","Pheniramine","D010632"
"DB00405","Potential QTc-Prolonging Agents",NA
"DB00405","Pyridines","D011725"
"DB00405","QTc Prolonging Agents",NA
"DB00405","Substituted Alkylamines",NA
"DB00406","Amines","D000588"
"DB00406","Aniline Compounds","D000814"
"DB00406","Anti-Infective Agents","D000890"
"DB00406","Anti-Infective Agents, Local","D000891"
"DB00406","Antifungals for Dermatological Use",NA
"DB00406","Antifungals for Topical Use",NA
"DB00406","Dermatologicals","D003879"
"DB00406","Genito Urinary System and Sex Hormones",NA
"DB00406","Gynecological Antiinfectives and Antiseptics",NA
"DB00406","Miscellaneous Antifungals",NA
"DB00407","Agents causing hyperkalemia",NA
"DB00407","Anticoagulants","D000925"
"DB00407","Carbohydrates","D002241"
"DB00407","Cardiovascular Agents","D002317"
"DB00407","Fibrin Modulating Agents","D050299"
"DB00407","Glycosaminoglycans","D006025"
"DB00407","Hematologic Agents","D006401"
"DB00407","Heparin (Low Molecular Weight)","D006495"
"DB00407","Heparin and similars","D006493"
"DB00407","Heparins",NA
"DB00407","Polysaccharides","D011134"
"DB00408","Antidepressive Agents","D000928"
"DB00408","Antipsychotic Agents","D014150"
"DB00408","Antipsychotic Agents (First Generation [Typical])",NA
"DB00408","Central Nervous System Agents","D002491"
"DB00408","Central Nervous System Depressants","D002492"
"DB00408","Diazepines, Oxazepines, Thiazepines and Oxepines",NA
"DB00408","Dibenzoxazepines","D003989"
"DB00408","Dopamine Agents","D015259"
"DB00408","Dopamine Antagonists","D018492"
"DB00408","Dopamine D2 Receptor Antagonists","D065127"
"DB00408","Loxapine","D008152"
"DB00408","Miscellaneous Antipsychotics",NA
"DB00408","Nervous System","D009420"
"DB00408","Neurotoxic agents",NA
"DB00408","Neurotransmitter Agents","D018377"
"DB00408","P-glycoprotein/ABCB1 Inhibitors",NA
"DB00408","Psycholeptics",NA
"DB00408","Psychotropic Drugs","D011619"
"DB00408","Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome","D020230"
"DB00408","Serotonin 5-HT2 Receptor Antagonists","D058830"
"DB00408","Serotonin Agents","D018490"
"DB00408","Serotonin Receptor Antagonists","D012702"
"DB00408","Tranquilizing Agents","D014149"
"DB00409","Acids, Carbocyclic","D000146"
"DB00409","Amides","D000577"
"DB00409","Antipsychotic Agents","D014150"
"DB00409","Benzamides and benzamide derivatives","D001549"
"DB00409","Benzene Derivatives","D001555"
"DB00409","Benzoates","D001565"
"DB00409","Bromobenzoates","D001970"
"DB00409","Central Nervous System Agents","D002491"
"DB00409","Central Nervous System Depressants","D002492"
"DB00409","Cytochrome P-450 CYP2D6 Substrates",NA
"DB00409","Dopamine Agents","D015259"
"DB00409","Dopamine Antagonists","D018492"
"DB00409","Dopamine D2 Receptor Antagonists","D065127"
"DB00409","Nervous System","D009420"
"DB00409","Neurotoxic agents",NA
"DB00409","Neurotransmitter Agents","D018377"
"DB00409","Psycholeptics",NA
"DB00409","Psychotropic Drugs","D011619"
"DB00409","Tranquilizing Agents","D014149"
"DB00410","Anti-Bacterial Agents","D000900"
"DB00410","Anti-Infective Agents","D000890"
"DB00410","Antibiotics for Topical Use",NA
"DB00410","Dermatologicals","D003879"
"DB00410","Enzyme Inhibitors","D004791"
"DB00410","Epoxy Compounds","D004852"
"DB00410","Ethers","D004987"
"DB00410","Ethers, Cyclic","D004988"
"DB00410","Fatty Acids","D005227"
"DB00410","Lipids","D008055"
"DB00410","Nasal Preparations",NA
"DB00410","Protein Synthesis Inhibitors","D011500"
"DB00410","Pyrans","D011714"
"DB00410","RNA Synthetase Inhibitor Antibacterial",NA
"DB00410","RNA Synthetase Inhibitors",NA
"DB00411","Alcohols","D000438"
"DB00411","Amines","D000588"
"DB00411","Amino Alcohols","D000605"
"DB00411","Ammonium Compounds","D064751"
"DB00411","Analgesics","D000700"
"DB00411","Analgesics, Non-Narcotic","D018712"
"DB00411","Antiglaucoma Preparations and Miotics",NA
"DB00411","Autonomic Agents","D001337"
"DB00411","Cardiotonic Agents","D002316"
"DB00411","Cardiovascular Agents","D002317"
"DB00411","Central Nervous System Agents","D002491"
"DB00411","Choline","D002794"
"DB00411","Choline Esters",NA
"DB00411","Cholinergic Agents","D018678"
"DB00411","Cholinergic Agonists","D018679"
"DB00411","Cholinergic Receptor Agonist",NA
"DB00411","Compounds used in a research, industrial, or household setting","D020313"
"DB00411","Ethanolamines","D004983"
"DB00411","Miotics","D008916"
"DB00411","Nervous System","D009420"
"DB00411","Neurotransmitter Agents","D018377"
"DB00411","Nitrogen Compounds","D017672"
"DB00411","Onium Compounds","D009861"
"DB00411","Ophthalmologicals",NA
"DB00411","Parasympathomemetic (Cholinergic) Agents",NA
"DB00411","Parasympathomimetics","D010277"
"DB00411","Peripheral Nervous System Agents","D018373"
"DB00411","Protective Agents","D020011"
"DB00411","Quaternary Ammonium Compounds","D000644"
"DB00411","Sensory Organs",NA
"DB00411","Sensory System Agents","D018689"
"DB00411","Trimethyl Ammonium Compounds","D050337"
"DB00412","Alimentary Tract and Metabolism",NA
"DB00412","Blood Glucose Lowering Agents","D007004"
"DB00412","BSEP/ABCB11 Substrates",NA
"DB00412","Cytochrome P-450 CYP1A2 Inhibitors","D065609"
"DB00412","Cytochrome P-450 CYP1A2 Inhibitors (unknown strength)",NA
"DB00412","Cytochrome P-450 CYP2A6 Inhibitors",NA
"DB00412","Cytochrome P-450 CYP2A6 Inhibitors (strength unknown)",NA
"DB00412","Cytochrome P-450 CYP2C8 Inhibitors","D065687"
"DB00412","Cytochrome P-450 CYP2C8 Inhibitors (moderate)",NA
"DB00412","Cytochrome P-450 CYP2C8 Substrates",NA
"DB00412","Cytochrome P-450 CYP2C9 Substrates",NA
"DB00412","Cytochrome P-450 CYP2D6 Inhibitors","D065690"
"DB00412","Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)",NA
"DB00412","Cytochrome P-450 CYP3A Substrates",NA
"DB00412","Cytochrome P-450 CYP3A4 Substrates",NA
"DB00412","Cytochrome P-450 CYP3A4 Substrates (strength unknown)",NA
"DB00412","Cytochrome P-450 Enzyme Inhibitors","D065607"
"DB00412","Drugs that are Mainly Renally Excreted",NA
"DB00412","Drugs Used in Diabetes",NA
"DB00412","Hypoglycemia-Associated Agents",NA
"DB00412","OATP1B1/SLCO1B1 Inhibitors",NA
"DB00412","Oral Hypoglycemics",NA
"DB00412","Peroxisome Proliferator Receptor gamma Agonist",NA
"DB00412","Peroxisome Proliferator-activated Receptor Activity",NA
"DB00412","PPAR gamma","D047495"
"DB00412","Sulfur Compounds","D013457"
"DB00412","Thiazoles","D013844"
"DB00412","Thiazolidinediones","D045162"
"DB00412","Vasodilating Agents","D014665"
"DB00413","Anti-Dyskinesia Agents","D018726"
"DB00413","Anti-Parkinson Agents (Dopamine Agonist)",NA
"DB00413","Anti-Parkinson Drugs","D000978"
"DB00413","Antioxidants","D000975"
"DB00413","Central Nervous System Agents","D002491"
"DB00413","Dopamine Agents","D015259"
"DB00413","Dopamine Agonists","D018491"
"DB00413","Drugs that are Mainly Renally Excreted",NA
"DB00413","Hypotensive Agents",NA
"DB00413","Nervous System","D009420"
"DB00413","Neurotransmitter Agents","D018377"
"DB00413","Nonergot-derivative Dopamine Receptor Agonists",NA
"DB00413","OCT1 substrates",NA
"DB00413","OCT2 Substrates",NA
"DB00413","OCT2 substrates with narrow therapeutic index",NA
"DB00413","Restless Legs Syndrome","D012148"
"DB00413","Sulfur Compounds","D013457"
"DB00413","Thiazoles","D013844"
"DB00414","Alimentary Tract and Metabolism",NA
"DB00414","Blood Glucose Lowering Agents","D007004"
"DB00414","Cytochrome P-450 CYP2C9 Substrates",NA
"DB00414","Drugs Used in Diabetes",NA
"DB00414","Oral Hypoglycemics",NA
"DB00414","Sulfones","D013450"
"DB00414","Sulfonylurea Compounds","D013453"
"DB00414","Sulfonylureas",NA
"DB00414","Sulfur Compounds","D013457"
"DB00414","Urea","D014508"
"DB00415","Amides","D000577"
"DB00415","Aminopenicillins",NA
"DB00415","Anti-Bacterial Agents","D000900"
"DB00415","Anti-Infective Agents","D000890"
"DB00415","Antibacterials for Systemic Use",NA
"DB00415","Antiinfectives for Systemic Use",NA
"DB00415","Aza Compounds","D001372"
"DB00415","Azabicyclo Compounds","D053961"
"DB00415","Beta-Lactam Antibacterials",NA
"DB00415","beta-Lactams","D047090"
"DB00415","Drugs that are Mainly Renally Excreted",NA
"DB00415","Lactams","D007769"
"DB00415","Ophthalmologicals",NA
"DB00415","Penicillin G","D010400"
"DB00415","Penicillins","D010406"
"DB00415","Penicillins With Extended Spectrum",NA
"DB00415","Sensory Organs",NA
"DB00415","Sulfur Compounds","D013457"
"DB00416","Alkaloids","D000470"
"DB00416","Amines","D000588"
"DB00416","Ammonium Compounds","D064751"
"DB00416","Anticholinergic Agents","D018680"
"DB00416","Benzylisoquinolines","D044182"
"DB00416","Central Nervous System Depressants","D002492"
"DB00416","Drugs, Chinese Herbal","D004365"
"DB00416","Isoquinolines","D007546"
"DB00416","Neuromuscular Agents","D009465"
"DB00416","Neuromuscular Blocking Agents","D009466"
"DB00416","Neuromuscular-Blocking Agents (Nondepolarizing)","D003473"
"DB00416","Nicotinic Antagonists","D018733"
"DB00416","Nitrogen Compounds","D017672"
"DB00416","Onium Compounds","D009861"
"DB00416","Peripheral Nervous System Agents","D018373"
"DB00416","Quaternary Ammonium Compounds","D000644"
"DB00416","Tetrahydroisoquinolines","D044005"
"DB00417","Amides","D000577"
"DB00417","Anti-Bacterial Agents","D000900"
"DB00417","Anti-Infective Agents","D000890"
"DB00417","Antibacterials for Systemic Use",NA
"DB00417","Antiinfectives for Systemic Use",NA
"DB00417","Aza Compounds","D001372"
"DB00417","Azabicyclo Compounds","D053961"
"DB00417","Beta-Lactam Antibacterials",NA
"DB00417","Beta-Lactamase Sensitive Penicillins",NA
"DB00417","beta-Lactams","D047090"
"DB00417","Lactams","D007769"
"DB00417","Natural Penicillins",NA
"DB00417","Penicillin G","D010400"
"DB00417","Penicillins","D010406"
"DB00417","Sulfur Compounds","D013457"
"DB00418","Adjuvants",NA
"DB00418","Adjuvants, Anesthesia","D000759"
"DB00418","Anticholinergic Agents","D018680"
"DB00418","Anticonvulsants","D000927"
"DB00418","Barbiturates","D001463"
"DB00418","Barbiturates, Plain",NA
"DB00418","Central Nervous System Agents","D002491"
"DB00418","Central Nervous System Depressants","D002492"
"DB00418","Cytochrome P-450 CYP1A2 Inducers","D065694"
"DB00418","Cytochrome P-450 CYP1A2 Inducers (unknown strength)",NA
"DB00418","Cytochrome P-450 CYP2C19 Inducers","D065697"
"DB00418","Cytochrome P-450 CYP2C19 Inducers (unknown strength)",NA
"DB00418","Cytochrome P-450 CYP2C8 Inducers","D065696"
"DB00418","Cytochrome P-450 CYP2C8 Inducers (strong)",NA
"DB00418","Cytochrome P-450 CYP2C9 Inducers","D065698"
"DB00418","Cytochrome P-450 CYP2C9 Inducers (strength unknown)",NA
"DB00418","Cytochrome P-450 CYP3A Inducers","D065701"
"DB00418","Cytochrome P-450 CYP3A4 Inducers","D065701"
"DB00418","Cytochrome P-450 CYP3A4 Inducers (strength unknown)",NA
"DB00418","Cytochrome P-450 Enzyme Inducers","D065693"
"DB00418","Drugs that are Mainly Renally Excreted",NA
"DB00418","GABA Agents","D018682"
"DB00418","GABA Modulators","D018757"
"DB00418","Hypnotics and Sedatives","D006993"
"DB00418","Nervous System","D009420"
"DB00418","Neurotransmitter Agents","D018377"
"DB00418","Nicotinic Antagonists","D018733"
"DB00418","Psycholeptics",NA
"DB00418","Pyrimidines","D011743"
"DB00418","Pyrimidinones","D011744"
"DB00419","Alimentary Tract and Metabolism",NA
"DB00419","Alkaloids","D000470"
"DB00419","Anti-HIV Agents","D019380"
"DB00419","Anti-Infective Agents","D000890"
"DB00419","Carbohydrates","D002241"
"DB00419","Enzyme Inhibitors","D004791"
"DB00419","Gaucher Disease","D005776"
"DB00419","Glucosylceramide Synthase Inhibitor",NA
"DB00419","Glucosylceramide Synthase Inhibitors",NA
"DB00419","Glycoside Hydrolase Inhibitors","D065089"
"DB00419","Imines","D007097"
"DB00419","Imino Pyranoses","D050112"
"DB00419","Imino Sugars","D050111"
"DB00419","Miscellaneous Therapeutic Agents",NA
"DB00419","Monosaccharides","D009005"
"DB00419","Piperidines","D010880"
"DB00419","Various Alimentary Tract and Metabolism Products",NA
"DB00420","Adrenergic alpha-1 Receptor Antagonists","D058668"
"DB00420","Adrenergic alpha-Antagonists","D000317"
"DB00420","Adrenergic Antagonists","D018674"
"DB00420","Agents producing tachycardia",NA
"DB00420","Agents that produce hypertension",NA
"DB00420","Amino Acids","D000596"
"DB00420","Amino Acids, Branched-Chain","D000597"
"DB00420","Amino Acids, Essential","D000601"
"DB00420","Amino Acids, Peptides, and Proteins","D000602"
"DB00420","Anticholinergic Agents","D018680"
"DB00420","Antidepressive Agents","D000928"
"DB00420","Antiemetics","D000932"
"DB00420","Antipsychotic Agents","D014150"
"DB00420","Antipsychotic Agents (First Generation [Typical])",NA
"DB00420","Autonomic Agents","D001337"
"DB00420","Central Nervous System Agents","D002491"
"DB00420","Central Nervous System Depressants","D002492"
"DB00420","Cytochrome P-450 CYP1A2 Inhibitors","D065609"
"DB00420","Cytochrome P-450 CYP1A2 Inhibitors (unknown strength)",NA
"DB00420","Cytochrome P-450 CYP1A2 Substrates",NA
"DB00420","Cytochrome P-450 CYP2C9 Substrates",NA
"DB00420","Cytochrome P-450 CYP2D6 Substrates",NA
"DB00420","Cytochrome P-450 CYP3A Substrates",NA
"DB00420","Cytochrome P-450 CYP3A4 Substrates",NA
"DB00420","Cytochrome P-450 CYP3A4 Substrates (strength unknown)",NA
"DB00420","Cytochrome P-450 Enzyme Inhibitors","D065607"
"DB00420","Dopamine Agents","D015259"
"DB00420","Dopamine Antagonists","D018492"
"DB00420","Dopamine D2 Receptor Antagonists","D065127"
"DB00420","Gastrointestinal Agents","D005765"
"DB00420","Histamine Antagonists","D006633"
"DB00420","Histamine H1 Antagonists","D006634"
"DB00420","Moderate Risk QTc-Prolonging Agents",NA
"DB00420","Muscarinic Antagonists","D018727"
"DB00420","Nervous System","D009420"
"DB00420","Neurotoxic agents",NA
"DB00420","Neurotransmitter Agents","D018377"
"DB00420","Peripheral Nervous System Agents","D018373"
"DB00420","Phenothiazines","D010640"
"DB00420","Phenothiazines With Aliphatic Side-Chain",NA
"DB00420","Psycholeptics",NA
"DB00420","Psychotropic Drugs","D011619"
"DB00420","QTc Prolonging Agents",NA
"DB00420","Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome","D020230"
"DB00420","Serotonin 5-HT2 Receptor Antagonists","D058830"
"DB00420","Serotonin Agents","D018490"
"DB00420","Serotonin Receptor Antagonists","D012702"
"DB00420","Sulfur Compounds","D013457"
"DB00420","Tranquilizing Agents","D014149"
"DB00421","Agents causing hyperkalemia",NA
"DB00421","BSEP/ABCB11 Substrates",NA
"DB00421","Cardiovascular Agents","D002317"
"DB00421","Cytochrome P-450 CYP2C8 Inhibitors","D065687"
"DB00421","Cytochrome P-450 CYP2C8 Inhibitors (moderate)",NA
"DB00421","Cytochrome P-450 Enzyme Inhibitors","D065607"
"DB00421","Diuretics","D004232"
"DB00421","Diuretics, Potassium Sparing","D062865"
"DB00421","Hormone Antagonists","D006727"
"DB00421","Hormones, Hormone Substitutes, and Hormone Antagonists","D006730"
"DB00421","Hypotensive Agents",NA
"DB00421","Lactones","D007783"
"DB00421","Mineralocorticoid (Aldosterone) Receptor Antagonists",NA
"DB00421","Mineralocorticoid Receptor Antagonists","D000451"
"DB00421","Natriuretic Agents","D045283"
"DB00421","P-glycoprotein/ABCB1 Inducers",NA
"DB00421","Potassium-Sparing Agents",NA
"DB00421","Potassium-Sparing Diuretics",NA
"DB00421","Pregnanes","D011278"
"DB00421","Pregnenes","D011283"
"DB00421","Steroids","D013256"
"DB00422","Acids, Carbocyclic","D000146"
"DB00422","Agents that produce hypertension",NA
"DB00422","Agents that reduce seizure threshold",NA
"DB00422","Central Nervous System Agents","D002491"
"DB00422","Central Nervous System Stimulants","D000697"
"DB00422","Central Nervous System Stimulation",NA
"DB00422","Centrally Acting Sympathomimetics",NA
"DB00422","Dopamine Agents","D015259"
"DB00422","Dopamine Uptake Inhibitors","D018765"
"DB00422","Drugs that are Mainly Renally Excreted",NA
"DB00422","Membrane Transport Modulators","D049990"
"DB00422","Methylphenidate and isomer",NA
"DB00422","Nervous System","D009420"
"DB00422","Neurotransmitter Agents","D018377"
"DB00422","Neurotransmitter Uptake Inhibitors","D014179"
"DB00422","Phenylacetates","D010648"
"DB00422","Piperidines","D010880"
"DB00422","Psychoanaleptics",NA
"DB00422","Psychostimulants, Agents Used for Adhd and Nootropics",NA
"DB00422","Respiratory and CNS Stimulants",NA
"DB00423","Acids, Acyclic","D000144"
"DB00423","Benzene Derivatives","D001555"
"DB00423","Carbamates","D002219"
"DB00423","Carbamic Acid Esters",NA
"DB00423","Catechols","D002396"
"DB00423","Central Nervous System Agents","D002491"
"DB00423","Central Nervous System Depressants","D002492"
"DB00423","Centrally-mediated Muscle Relaxation",NA
"DB00423","Ethers","D004987"
"DB00423","Guaiacol","D006139"
"DB00423","Guaifenesin","D006140"
"DB00423","Methyl Ethers","D008738"
"DB00423","Muscle Relaxants",NA
"DB00423","Muscle Relaxants, Centrally Acting Agents","D009125"
"DB00423","Musculo-Skeletal System",NA
"DB00423","Peripheral Nervous System Agents","D018373"
"DB00423","Phenols","D010636"
"DB00423","Phenyl Ethers","D010647"
"DB00423","Phenylcarbamates","D048448"
"DB00424","Adjuvants, Anesthesia","D000759"
"DB00424","Agents producing tachycardia",NA
"DB00424","Alimentary Tract and Metabolism",NA
"DB00424","Alkaloids","D000470"
"DB00424","Anti-Asthmatic Agents","D018927"
"DB00424","Antiarrhythmic agents","D000889"
"DB00424","Anticholinergic Agents","D018680"
"DB00424","Atropine","D001285"
"DB00424","Atropine Derivatives","D001286"
"DB00424","Autonomic Agents","D001337"
"DB00424","Aza Compounds","D001372"
"DB00424","Azabicyclo Compounds","D053961"
"DB00424","Belladonna Alkaloids","D001533"
"DB00424","Belladonna Alkaloids, Tertiary Amines",NA
"DB00424","Belladonna and Derivatives, Plain",NA
"DB00424","Bronchodilator Agents","D001993"
"DB00424","Cardiovascular Agents","D002317"
"DB00424","Central Nervous System Agents","D002491"
"DB00424","Cholinergic Agents","D018678"
"DB00424","Drugs for Functional Gastrointestinal Disorders",NA
"DB00424","Muscarinic Antagonists","D018727"
"DB00424","Mydriatics","D009184"
"DB00424","Neurotransmitter Agents","D018377"
"DB00424","Parasympatholytics","D010276"
"DB00424","Peripheral Nervous System Agents","D018373"
"DB00424","Potential QTc-Prolonging Agents",NA
"DB00424","QTc Prolonging Agents",NA
"DB00424","Respiratory System Agents","D019141"
"DB00424","Solanaceous Alkaloids","D012991"
"DB00424","Tropanes","D014326"
"DB00425","Benzodiazepine hypnotics and sedatives",NA
"DB00425","Central Nervous System Agents","D002491"
"DB00425","Central Nervous System Depressants","D002492"
"DB00425","Central Nervous System Depression",NA
"DB00425","Cytochrome P-450 CYP1A2 Substrates",NA
"DB00425","Cytochrome P-450 CYP2C19 Substrates",NA
"DB00425","Cytochrome P-450 CYP2C9 Substrates",NA
"DB00425","Cytochrome P-450 CYP2D6 Substrates",NA
"DB00425","Cytochrome P-450 CYP3A Substrates",NA
"DB00425","Cytochrome P-450 CYP3A4 Substrates",NA
"DB00425","Cytochrome P-450 CYP3A4 Substrates (strength unknown)",NA
"DB00425","Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index",NA
"DB00425","GABA Agents","D018682"
"DB00425","GABA Agonists","D018755"
"DB00425","GABA-A Receptor Agonists","D058785"
"DB00425","gamma-Aminobutyric Acid-ergic Agonist",NA
"DB00425","Hypnotics (Nonbenzodiazepine)",NA
"DB00425","Hypnotics and Sedatives","D006993"
"DB00425","Miscellaneous Anxiolytics Sedatives and Hypnotics",NA
"DB00425","Nervous System","D009420"
"DB00425","Neurotransmitter Agents","D018377"
"DB00425","Psycholeptics",NA
"DB00426","Anti-Infective Agents","D000890"
"DB00426","Antiinfectives for Systemic Use",NA
"DB00426","Antiviral Agents","D000998"
"DB00426","Antivirals for Systemic Use",NA
"DB00426","Cytochrome P-450 CYP3A Substrates",NA
"DB00426","Cytochrome P-450 CYP3A4 Substrates",NA
"DB00426","Cytochrome P-450 CYP3A4 Substrates (strength unknown)",NA
"DB00426","Direct Acting Antivirals",NA
"DB00426","Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor",NA
"DB00426","Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor",NA
"DB00426","Nucleic Acid Synthesis Inhibitors","D019384"
"DB00426","Nucleosides and Nucleotides",NA
"DB00426","Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors",NA
"DB00426","Ophthalmologicals",NA
"DB00426","Prodrugs","D011355"
"DB00426","Purines","D011687"
"DB00426","Sensory Organs",NA
"DB00427","Anti-Allergic Agents","D018926"
"DB00427","Antihistamines for Systemic Use",NA
"DB00427","Central Nervous System Depressants","D002492"
"DB00427","Histamine Agents","D018494"
"DB00427","Histamine Antagonists","D006633"
"DB00427","Histamine H1 Antagonists","D006634"
"DB00427","Neurotransmitter Agents","D018377"
"DB00427","Potential QTc-Prolonging Agents",NA
"DB00427","Pyridines","D011725"
"DB00427","QTc Prolonging Agents",NA
"DB00428","Alkylating Activity",NA
"DB00428","Alkylating Drugs","D000477"
"DB00428","Antibiotics, Antineoplastic","D000903"
"DB00428","Antineoplastic Agents","D000970"
"DB00428","Antineoplastic Agents, Alkylating","D018906"
"DB00428","Antineoplastic and Immunomodulating Agents",NA
"DB00428","Carbohydrates","D002241"
"DB00428","Cytochrome P-450 CYP1A2 Inducers","D065694"
"DB00428","Cytochrome P-450 CYP1A2 Inducers (unknown strength)",NA
"DB00428","Cytochrome P-450 CYP2E1 Inducers","D065700"
"DB00428","Cytochrome P-450 CYP2E1 Inducers (strength unknown)",NA
"DB00428","Cytochrome P-450 Enzyme Inducers","D065693"
"DB00428","Glycosides","D006027"
"DB00428","Immunosuppressive Agents","D007166"
"DB00428","Myelosuppressive Agents",NA
"DB00428","Nitroso Compounds","D009603"
"DB00428","Nitrosourea Compounds","D009607"
"DB00428","Nitrosoureas",NA
"DB00428","P-glycoprotein/ABCB1 Inducers",NA
"DB00428","Urea","D014508"
"DB00429","Abortifacient Agents","D000019"
"DB00429","Abortifacient Agents, Nonsteroidal","D000020"
"DB00429","Alcohols","D000438"
"DB00429","Autacoids","D012898"
"DB00429","Biological Factors","D001685"
"DB00429","Eicosanoids","D015777"
"DB00429","Fatty Acids","D005227"
"DB00429","Fatty Acids, Unsaturated","D005231"
"DB00429","Genito Urinary System and Sex Hormones",NA
"DB00429","Glycols","D006018"
"DB00429","Inflammation Mediators","D018836"
"DB00429","Lipids","D008055"
"DB00429","Pharmaceutical Preparations","D004364"
"DB00429","Propylene Glycols","D011409"
"DB00429","Prostaglandins","D011453"
"DB00429","Prostaglandins F, Synthetic","D011461"
"DB00429","Prostaglandins, Synthetic","D011465"
"DB00429","Reproductive Control Agents","D012102"
"DB00429","Tromethamine","D014325"
"DB00429","Uterotonic agents","D010120"
"DB00430","Amides","D000577"
"DB00430","Anti-Bacterial Agents","D000900"
"DB00430","Anti-Infective Agents","D000890"
"DB00430","Antibacterials for Systemic Use",NA
"DB00430","Antiinfectives for Systemic Use",NA
"DB00430","Aza Compounds","D001372"
"DB00430","Azabicyclo Compounds","D053961"
"DB00430","beta-Lactams","D047090"
"DB00430","Cephalosporins","D002511"
"DB00430","Lactams","D007769"
"DB00430","Nephrotoxic agents",NA
"DB00430","Sulfur Compounds","D013457"
"DB00430","Thiazines","D013843"
"DB00430","Third-Generation Cephalosporins",NA
"DB00431","Agents that reduce seizure threshold",NA
"DB00431","Agrochemicals","D016573"
"DB00431","Antiparasitic Products, Insecticides and Repellents",NA
"DB00431","Chlorine Containing Products",NA
"DB00431","Compounds used in a research, industrial, or household setting","D020313"
"DB00431","Ectoparasiticides, Incl. Scabicides",NA
"DB00431","Ectoparasiticides, Incl. Scabicides, Insecticides and Repellents",NA
"DB00431","Hydrocarbons, Chlorinated","D006843"
"DB00431","Hydrocarbons, Halogenated","D006846"
"DB00431","Insecticides","D007306"
"DB00431","Pesticides","D010575"
"DB00431","Toxic Actions","D004786"
"DB00432","Anti-Infective Agents","D000890"
"DB00432","Antimetabolites","D000963"
"DB00432","Antineoplastic Agents","D000970"
"DB00432","Antineoplastic and Immunomodulating Agents",NA
"DB00432","Antiviral Agents","D000998"
"DB00432","Carbohydrates","D002241"
"DB00432","Deoxyribonucleosides","D003853"
"DB00432","Drugs that are Mainly Renally Excreted",NA
"DB00432","Glycosides","D006027"
"DB00432","Immunosuppressive Agents","D007166"
"DB00432","Noxae","D009676"
"DB00432","Nucleic Acid Synthesis Inhibitors","D019384"
"DB00432","Nucleic Acids, Nucleotides, and Nucleosides","D009706"
"DB00432","Nucleoside Analog Antiviral",NA
"DB00432","Nucleoside Metabolic Inhibitor",NA
"DB00432","Nucleosides","D009705"
"DB00432","OAT1/SLC22A6 inhibitors",NA
"DB00432","OAT1/SLC22A6 Substrates",NA
"DB00432","OAT3/SLC22A8 Substrates",NA
"DB00432","Ophthalmologicals",NA
"DB00432","Pyrimidine Analogues",NA
"DB00432","Pyrimidine Nucleosides","D011741"
"DB00432","Pyrimidines","D011743"
"DB00432","Sensory Organs",NA
"DB00432","Thymidine","D013936"
"DB00432","Toxic Actions","D004786"
"DB00433","Antiemetics","D000932"
"DB00433","Antipsychotic Agents","D014150"
"DB00433","Antipsychotic Agents (First Generation [Typical])",NA
"DB00433","Autonomic Agents","D001337"
"DB00433","Central Nervous System Agents","D002491"
"DB00433","Central Nervous System Depressants","D002492"
"DB00433","Cytochrome P-450 CYP2D6 Substrates",NA
"DB00433","Cytochrome P-450 CYP3A Substrates",NA
"DB00433","Cytochrome P-450 CYP3A4 Substrates",NA
"DB00433","Cytochrome P-450 CYP3A4 Substrates (strength unknown)",NA
"DB00433","Dopamine Agents","D015259"
"DB00433","Dopamine Antagonists","D018492"
"DB00433","Dopamine D2 Receptor Antagonists","D065127"
"DB00433","Gastrointestinal Agents","D005765"
"DB00433","Moderate Risk QTc-Prolonging Agents",NA
"DB00433","Nervous System","D009420"
"DB00433","Neurotoxic agents",NA
"DB00433","Neurotransmitter Agents","D018377"
"DB00433","Peripheral Nervous System Agents","D018373"
"DB00433","Phenothiazines","D010640"
"DB00433","Phenothiazines With Piperazine Structure",NA
"DB00433","Psycholeptics",NA
"DB00433","Psychotropic Drugs","D011619"
"DB00433","QTc Prolonging Agents",NA
"DB00433","Schizophrenia","D012559"
"DB00433","Sulfur Compounds","D013457"
"DB00433","Tranquilizing Agents","D014149"
"DB00434","Agents producing tachycardia",NA
"DB00434","Agents that reduce seizure threshold",NA
"DB00434","Anti-Allergic Agents","D018926"
"DB00434","Anticholinergic Agents","D018680"
