"primary_key","food_interaction_Food_Interactions"
"DB00749","Food increases the time to peak concentration of regular release oral formulations by 1.4 to 3.8 hours with no effect on extent of absorption."
"DB00749","Take with food to reduce gastric irritation."
"DB00752","Avoid aged foods (chesse, red wine), pickled foods, cured foods (bacon/ham), chocolate, fava beans, beer, unless approved by your physician."
"DB00752","Avoid alcohol."
"DB00752","Avoid excessive quantities of coffee or tea (caffeine)."
"DB00752","Avoid St. John's Wort."
"DB00757","Take without regard to meals."
"DB00759","Avoid milk, calcium containing dairy products, iron, antacids, or aluminium salts 2 hours before or 6 hours after using antacids while on this medication."
"DB00759","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00759","Take with a full glass of water."
"DB00761","Take with a full glass of water Take after a full meal."
"DB00763","Always take at the same moment in regard to meals, food may affect absorption unpredictably."
"DB00773","Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can decrease serum levels of this product."
"DB00776","Take without regard to meals. Avoid alcohol."
"DB00779","Take with food to reduce irritation. Drink liberally."
"DB00780","Avoid aged foods (cheese, red wine), pickled foods, cured foods (bacon/ham), chocolate, fava beans, beer, unless approved by your physician."
"DB00780","Avoid alcohol."
"DB00780","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00780","Avoid St.John's Wort."
"DB00780","Take without regard to meals."
"DB00783","Take with food to decrease nausea."
"DB00784","Avoid alcohol."
"DB00784","Take with food."
"DB00787","Increase liquid intake."
"DB00787","Take without regard to meals."
"DB00788","Avoid alcohol."
"DB00788","Take with a full glass of water."
"DB00788","Take with food."
"DB00790","Herbs that may attenuate the antihypertensive effect of perindopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00790","High salt intake may attenuate the antihypertensive effect of perindopril."
"DB00790","Perindopril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia."
"DB00790","Take without regard to meals."
"DB00794","Avoid alcohol."
"DB00794","Avoid high doses of caffeine."
"DB00794","Take with food to reduce gastric irritation."
"DB00795","May take Vitamin D."
"DB00795","Take with a full glass of water No iron, zinc or fluoride within 2 hours of taking this medication."
"DB00795","Take with food."
"DB00796","Administer on a regular basis, at about the same time each day."
"DB00796","Take without regard to meals."
"DB00804","Avoid alcohol."
"DB00804","Take this medication 30 minutes before meals."
"DB00806","Take with food to reduce irritation. Limit caffeine intake."
"DB00808","Take without regard to meals. Magnesium, potassium and zinc needs increased."
"DB00810","Avoid alcohol."
"DB00810","Take with food."
"DB00812","Take with food to reduce irritation. Avoid alcohol."
"DB00813","Avoid alcohol."
"DB00814","Take without regard to meals."
"DB00816","Avoid high doses of caffeine."
"DB00816","Take without regard to meals."
"DB00819","Drink plenty of liquids."
"DB00819","Take with food; at least 6 hours before bedtime."
"DB00822","Avoid alcohol for up to 14 days after treatment has been stopped."
"DB00822","Take without regard to meals."
"DB00828","Food decreases Cmax slightly."
"DB00828","Take without regard to meals."
"DB00829","Avoid alcohol."
"DB00829","Avoid excessive quantities of coffee or tea (caffeine)."
"DB00829","Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product."
"DB00829","Take with food."
"DB00833","Preferably on an empty stomach, not really problematic."
"DB00835","Avoid alcohol."
"DB00835","Take with food."
"DB00836","Take without regard to meals. Increase liquid intake."
"DB00842","Avoid alcohol."
"DB00842","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00842","Take with food."
"DB00843","Avoid alcohol."
"DB00843","Take without regard to meals."
"DB00847","Avoid administration of delayed release cysteamine less than 30 minutes before and within 2 hours after ingesting food due to decreased bioavailability of cysteamine."
"DB00848","Take on an empty stomach."
"DB00850","Avoid alcohol."
"DB00850","Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB00850","Take with food."
"DB00852","Take without regard to meals."
"DB00854","Take without regard to meals. Avoid alcohol."
"DB00859","Drink liberally."
"DB00859","Food reduces availability, take on an empty stomach."
"DB00860","Avoid alcohol. Avoid caffeine."
"DB00860","Take with food to reduce gastric irritation."
"DB00861","Avoid alcohol."
"DB00861","Food slightly delays rate of absorption with no effect on extent of absorption."
"DB00861","Take with food to reduce gastric irritation."
"DB00863","Avoid alcohol."
"DB00863","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00863","Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB00863","Take without regard to meals."
"DB00864","Food, especially food with a high-fat content, decreases the rate and extent of absorption."
"DB00864","The time of the meal affects tacrolimus bioavailability. Take tacrolimus capsules consistently everyday either with or without food."
"DB00868","Take without regard to meals."
"DB00874","Take with a full glass of water."
"DB00874","Take without regard to meals."
"DB00875","Avoid alcohol."
"DB00875","Take with food to reduce irritation."
"DB00876","Take without regard to meals."
"DB00879","Take without regard to meals."
"DB00881","Do not take with a high-fat meal."
"DB00881","Herbs that may attenuate the antihypertensive effect of quinapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00881","High salt intake may attenuate the antihypertensive effect of quinapril."
"DB00881","Quinapril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia."
"DB00882","Take without regard to meals."
"DB00883","Take without regard to meals. Absorption is faster on an empty stomach."
"DB00887","Take with food to reduce irritation."
"DB00889","Take without regard to meals."
"DB00900","Avoid alcohol."
"DB00900","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00903","Take with food to reduce irritation."
"DB00904","Take without regard to meals."
"DB00908","Preferably take on an ampty stomach."
"DB00912","Take up to 30 minutes before meals."
"DB00912","When taken with a high-fat meal, AUC and Cmax decreases."
"DB00913","Take without regard to meals."
"DB00915","Avoid alcohol."
"DB00915","Take without regard to meals."
"DB00916","Avoid alcohol."
"DB00916","Take with food to reduce irritation."
"DB00918","Take without regard to meals."
"DB00918","The absorption is unaffected by food."
"DB00920","Take without regard to meals."
"DB00924","Avoid alcohol."
"DB00924","Take with food to reduce irritation."
"DB00926","Avoid alcohol completely up to 2 months after discontinuation."
"DB00926","Increases absorption, take with food."
"DB00927","Avoid alcohol."
"DB00927","Limit caffeine intake."
"DB00927","Take without regard to meals, food may slightly increase the product's bioavailability."
"DB00929","Take with food to decrease the incidence of diarrhea."
"DB00930","Drink liberally."
"DB00930","Take with a meal."
"DB00933","Take with food to reduce irritation."
"DB00934","Take without regard to meals. Limit caffeine intake."
"DB00937","Take without regard to meals."
"DB00943","Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
"DB00943","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00945","Avoid alcohol, alcohol appears to cause a 50 to 100% increases in ASA serum levels."
"DB00945","Take with a full glass of water."
"DB00945","Take with food to reduce gastric irritation."
"DB00949","Taking it after a meal may reduce the incidence of adverse effects."
"DB00950","Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly decrease serum levels of this product."
"DB00950","Take without regard to meals."
"DB00951","Avoid aged foods (cheese, red wine), pickled foods, cured foods (bacon/ham), chocolate, fava beans, beer, unless approved by your physician."
"DB00951","Avoid alcohol."
"DB00951","Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB00951","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB00951","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00951","Take with a full glass of water."
"DB00952","Take without regard to meals."
"DB00956","Avoid alcohol."
"DB00956","Take with food."
"DB00956","To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
"DB00957","Avoid alcohol."
"DB00957","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00957","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB00957","Take at the same time everyday."
"DB00957","Take with food."
"DB00958","Avoid echinacea as it may decrease effectiveness of immunosuppresants like carboplatin"
"DB00960","Magnesium, potassium and zinc needs increased."
"DB00960","Take without regard to meals. Avoid alcohol."
"DB00967","Take without regard to meals."
"DB00968","Avoid alcohol."
"DB00968","Avoid natural licorice."
"DB00968","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB00968","May take Vitamin D."
"DB00968","No iron, zinc or fluoride within 2 hours of taking this medication."
"DB00968","Take without regard to meals."
"DB00969","Absorption is decreased by about 25% when taken with meals."
"DB00969","Take without regard to meals."
"DB00973","Take without regard to meals."
"DB00975","Coffee and tea can decrease the effect of dipyridamole."
"DB00975","Take with food to reduce irritation."
"DB00976","Take without regard to meals."
"DB00980","Avoid alcohol."
"DB00980","Do not take with or immediately after a high-fat meal."
"DB00982","Avoid alcohol."
"DB00982","Take with a full glass of water Do not take supplements containing Vitamin A."
"DB00982","Take with high-fat meal to increase absorption."
"DB00985","Avoid alcohol."
"DB00985","Take with food."
"DB00986","Take without regard to meals."
"DB00990","High-fat meals increase plasma exemestane concentrations by approximately 40%."
"DB00991","Take with food, usually once a day after breakfast. Food decreases the rate of absorption but not the amount absorbed. Avoid alcohol."
"DB00993","Take with food to reduce irritation."
"DB00995","Take with food to reduce irritation."
"DB00996","Avoid alcohol."
"DB00996","Take without regard to meals."
"DB00997","Liberal fluid intake to increase urine output and help the excretion of uric acid."
"DB00998","Food does not affect amount of absorption but delays maximal levels by about 1 hour."
"DB00998","Take without regard to meals."
"DB00999","Avoid alcohol."
"DB00999","Avoid excess salt/sodium unless otherwise instructed by your physician."
"DB00999","Avoid natural licorice."
"DB00999","Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB00999","Increase potassium intake; add a banana or orange juice; unless instructed otherwise."
"DB00999","Take with food."
"DB01004","Take with food, food increases bioavailability."
"DB01005","Take without regard to meals. Drink liberally."
"DB01006","Take without regard to meals. Food slows absorption without decreasing the quantity absorbed."
"DB01008","Drink liberally."
"DB01008","Take without regard to meals."
"DB01009","Avoid alcohol."
"DB01009","Food prolongs rate of absorption and decreases peak plasma concentration. Extent of absorption is not affected."
"DB01009","Take with food to reduce gastric irritation."
"DB01012","Food markedly increases product bioavailability."
"DB01012","Peak levels and area under curve (drug exposure) are increased (82% and 68% respectively) when product is taken with a lipid-rich meal."
"DB01012","Take with food or soon after a meal."
"DB01015","Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
"DB01015","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB01015","Take with a full glass of water."
"DB01016","Avoid alcohol."
"DB01016","Take 30-60 minutes before breakfast."
"DB01017","Calcium and iron needs increased with long term use."
"DB01017","Do not take Aluminum or magnesium antacids or supplements while on this medication."
"DB01017","Take with food."
"DB01019","Take on empty stomach: 1 hour before or 2 hours after meals to avoid nausea."
"DB01020","Take without regard to meals."
"DB01023","Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication."
"DB01023","Take without regard to meals."
"DB01026","Avoid alcohol."
"DB01026","Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB01026","Take with food."
"DB01029","Take without regard to meals."
"DB01032","Increase liquid intake, avoid alcohol."
"DB01032","Take with food to reduce irritation."
"DB01033","Preferably on an empty stomach, drink plenty of liquids, avoid alcohol."
"DB01035","Avoid alcohol."
"DB01035","Take with food to reduce irritation."
"DB01036","Take with food."
"DB01037","Food increases the oral bioavailability by 3-5 fold."
"DB01039","Increased absorption- take with meals."
"DB01042","Take on an empty stomach. Food decreases bioavailabilty by approximately 30%. Increase liquid intake."
"DB01043","Take without regard to meals."
"DB01044","Absorption does not seem to be affected by milk or calcium carbonate, however, gatifloxacin bioavailability appears significantly reduced when combined with Ensure&trade; (C<sub>max</sub> is reduced by about 50% while total drug exposure (AUC) is reduced by about 25%)."
"DB01044","Drink liberally."
"DB01044","Take without regard to meals."
"DB01045","Avoid alcohol."
"DB01045","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB01045","Take with a full glass of water."
"DB01048","Abacavir is partly metabolised through the alcohol-dehydrogenase enzyme system."
"DB01048","Alcohol significantly increases abacavir's area under the curve (about 41%)."
"DB01048","Avoid alcohol."
"DB01048","Take without regard to meals."
"DB01050","Avoid alcohol"
"DB01050","Food delays the time to reach peak plasma concentrations by 30-60 minutes and reduces peak plasma concentrations by 30-50%. Extent of absorption is unaffected."
"DB01050","Take with food to reduce gastric irritation."
"DB01058","Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product."
"DB01058","Take with food."
"DB01059","Avoid high doses of caffeine."
"DB01059","Take on an empty stomach. Drink liberally."
"DB01060","Take without regard to meals."
"DB01062","Avoid alcohol."
"DB01062","Take with food."
"DB01066","Antacids may reduce the serum concentration of cefditoren. Consider alternative methods to minimize/control acid reflux. If use of antacids cannot be avoided, separate administration by at least several hours to reduce chance of interaction"
"DB01067","Avoid alcohol."
"DB01067","Avoid sugar and sugary food."
"DB01067","Take 30-60 minutes before breakfast."
"DB01068","Avoid alcohol."
"DB01068","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01068","Take without regard to meals."
"DB01069","Take with food to reduce irritation. Avoid alcohol."
"DB01072","Administration with food reduces pharmacokinetic variability."
"DB01072","Food increases product absorption."
"DB01073","Food slightly increases product bioavailability."
"DB01073","Take without regard to meals."
"DB01075","Avoid alcohol."
"DB01075","Take with food."
"DB01076","Avoid alcohol."
"DB01076","Avoid drastic changes in dietary habit."
"DB01076","Avoid taking grapefruit or grapefruit juice throughout treatment. Grapefruit can significantly increase serum levels of this product."
"DB01076","Food may decrease maximum plasma levels and area under the curve, but this is clinically inconsequential according to the manufacturer."
"DB01076","Take with low fat meal."
"DB01077","Avoid aluminium, calcium, iron and magnesium within 2 hours of taking medication."
"DB01077","Take on an empty stomach with a full glass of water."
"DB01079","Take before a meal, to increase absorption, take 30 minutes before a meal."
"DB01081","Avoid alcohol."
"DB01081","Take with food."
"DB01083","Take with meals, or upto 1 hour after a meal. If patient misses a meal, or has a fat-free meal, he/she may skip the corresponding dose."
"DB01087","Take with food to decrease dyspepsia."
"DB01095","May be taken with or without food, but should be taken consistently."
"DB01095","When given with an evening meal, Cmax and AUC decreased while Tmax increased 2-fold"
"DB01097","Take without regard to meals."
"DB01100","Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product."
"DB01100","Take without regard to meals."
"DB01101","Take 12 hours apart, within 30 minutes of the end of breakfast and dinner to reduce nausea."
"DB01104","Avoid alcohol."
"DB01104","Avoid St.John's Wort."
"DB01104","Avoid taking with grapefruit juice."
"DB01104","Take with food."
"DB01107","Take without regard to meals."
"DB01109","Adequate calcium intake is recommended, needs increased with long term use, supplement recommended."
"DB01109","Many herbs with anticoagulant properties (e.g. ginger, garlic, ginseng, green tea, evening primrose) may increase the risk of bleeding in patients on anticoagulant therapy such as heparin"
"DB01112","Take with food to increase absorption."
"DB01114","Avoid alcohol."
"DB01114","Take with food."
"DB01115","Avoid alcohol."
"DB01115","Avoid natural licorice."
"DB01115","Grapefruit down-regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication."
"DB01115","Take with low fat meal."
"DB01117","Fatty foods increase absorption."
"DB01117","Take with food, bioavailability is increased 2 to 3 fold."
"DB01118","Grapefruit and grapefruit juice should be avoided throughout treatment."
"DB01118","Grapefruit can significantly increase serum levels of this product."
"DB01118","Take without regard to meals."
"DB01120","Avoid alcohol."
"DB01120","Take without regard to meals. A consistent diet is recommended to reduce the risk of hypoglycemia."
"DB01121","May be taken with food if stomach upset occurs."
"DB01126","Take without regard to meals."
"DB01128","Take without regard to meals, at the same time everyday."
"DB01129","Take without regard to meals."
"DB01129","Take without regard to meals. Food may slow absorption rate but extent of absorption is not affected."
"DB01131","Take with food."
"DB01132","Take without regard to meals. Food slightly delays absorption rate but extent of absorption is not affected."
"DB01133","Do not take aluminum or magnesium-containing antacids within 2 hours of taking tiludronate."
"DB01133","Take on an empty stomach (at least 2 hours before or after meals) with a full glass of plain water. Other beverages may reduce drug absorption."
"DB01136","Take with food, food slows the absorption rate and reduces the incidence of adverse effects (extent of absorption is not affected)."
"DB01137","Take without regard to meals. Take with water, drink lliberally. Taking this product with orange juice can result in reduced quinolone plasma levels."
"DB01140","Food may reduce the digestive problems that sometimes occur."
"DB01140","Take without regard to meals."
"DB01142","Avoid alcohol."
"DB01142","Avoid excessive quantities of coffee or tea (caffeine)."
"DB01142","Avoid St.John's Wort."
"DB01142","Take with food to reduce irritation."
"DB01147","Take on an empty stomach."
"DB01148","Food may reduce irritation."
"DB01148","Take without regard to meals."
"DB01149","Avoid alcohol."
"DB01149","Avoid avocado."
"DB01149","Limit garlic, ginger, gingko, and horse chestnut."
"DB01149","Take this medication either consistently with or without food as instructed by your doctor."
"DB01150","Take without regard to meals."
"DB01151","Avoid alcohol."
"DB01151","Take with food to reduce irritation, limit caffeine intake."
"DB01155","Take without regard to meals."
"DB01156","Avoid alcohol."
"DB01156","Avoid St.John's Wort."
"DB01156","Take without regard to meals."
"DB01165","Avoid high doses of caffeine."
"DB01165","Take without regard to meals."
"DB01166","Grapefruit and grapefruit juice should be avoided throughout treatment, grapefruit can significantly increase serum levels of this product."
"DB01166","Take on an empty stomach, a lipid rich meal will increase absorption."
"DB01167","Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB01167","Avoid taking with grapefruit juice."
"DB01167","Take after a full meal."
"DB01167","Take with food."
"DB01170","Take without regard to meals."
"DB01171","Food slows absorption a little. Avoid alcohol. Take after meals in order to minimize the risk of interaction with tyramine."
"DB01173","Take without regard to meals. Avoid alcohol."
"DB01174","Avoid alcohol."
"DB01174","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01174","Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin."
"DB01174","Take on an empty stomach for quicker absorption"
"DB01175","Take without regard to meals."
"DB01176","Avoid alcohol."
"DB01176","Food may reduce irritation."
"DB01176","Take without regard to meals."
"DB01182","Always take at the same time in regard to meals."
"DB01182","Grapefruit and grapefruit juice should be avoided throughout treatment. Grapefruit can increase serum levels of this product."
"DB01184","Take 15 to 30 minutes before meals."
"DB01185","Take with food."
"DB01186","Take with food to reduce gastric irritation and nausea"
"DB01190","Take with food."
"DB01191","Take with meals."
"DB01193","Take without regard to meals; absorption rate and maximal concentration are slightly reduced but the extent of absorption is not affected."
"DB01195","Take without regard to meals."
"DB01196","Do not take with milk or milk products."
"DB01196","Take on an empty stomach."
"DB01197","Captopril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia."
"DB01197","Food decreases absorption by 25 - 40%. Clinical significance is debatable."
"DB01197","Herbs that may attenuate the antihypertensive effect of captopril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB01197","High salt intake may attenuate the antihypertensive effect of captopril."
"DB01200","Avoid alcohol."
"DB01200","Take with food to reduce irritation."
"DB01202","Take without regard to meals. Food does not affect bioavailabilty."
"DB01203","Avoid alcohol."
"DB01203","Avoid natural licorice."
"DB01203","Magnesium, potassium and zinc needs increased."
"DB01203","Take without regard to meals."
"DB01211","Biaxin - take without regard to meals (however absorption appears to be improved when drug is taken with food)."
"DB01211","Biaxin XL - take with a meal, taking it on an empty stomach is associated with total product exposure 30% inferior to that observed when administered with food."
"DB01215","Avoid alcohol."
"DB01215","Take without regard to meals."
"DB01216","Take without regard to meals."
"DB01217","Food decreases the rate of absorption, but the extent of absorption is not affected."
"DB01218","Take on an empty stomach, bioavailability is 6 times higher when drug is taken with high fat meals. Risks of cardiac toxicity are then increased."
"DB01219","Take without regard to meals."
"DB01222","A mean delay in time to peak concentration of 2.5 hours is observed with the intake of a high-fat meal, with no significant differences in AUC."
"DB01223","Limit caffeine intake."
"DB01223","Take with food."
"DB01223","Vitamin B6 needs increased, supplement recommended."
"DB01224","Avoid alcohol."
"DB01224","Take without regard to meals."
"DB01225","Avoid danshen, dong quai, evening primrose oil, gingko, policosanol, willow bark"
"DB01229","Avoid echinacea."
"DB01229","Avoid grapefruit and grapefruit juice due to potential increase of paclitaxel."
"DB01230","Avoid high doses of caffeine."
"DB01230","Take without regard to meals. Avoid alcohol."
"DB01232","Take after a full meal."
"DB01233","Food reduces availability, take 30 minutes before meals. Avoid alcohol."
"DB01234","Avoid alcohol."
"DB01234","Avoid taking with grapefruit juice."
"DB01234","Take with food to reduce irritation."
"DB01238","Avoid alcohol (possible additive effect to CNS)."
"DB01238","Food has no significant effect on absorption."
"DB01238","Take without regard to meals."
"DB01239","Avoid alcohol."
"DB01239","Take with food to reduce irritation."
"DB01241","Take 30 minutes before meals."
"DB01242","Avoid alcohol."
"DB01242","Grapefruit and grapefruit juice should be avoided throughout treatment, grapefruit can modify serum levels of clomipramine and its metabolite desmethyl-clomipramine."
"DB01242","Take with food to reduce irritation."
"DB01244","Alcohol may further decrease blood pressure and increase dizziness and drowsiness"
"DB01244","Take with food to reduce nausea."
"DB01247","Take without regard to meals, avoid tyramine, caffeine and alcohol."
"DB01261","Can be administered without regard to food"
"DB01264","Take with food - better absorption (+30%)."
"DB01265","Take without regard to meals."
"DB01267","Avoid alcohol."
"DB01270","No food effects found."
"DB01283","Take with or without food. Food has no effect on the absorption of the product."
"DB01288","Take without regard to meals."
"DB01297","Avoid alcohol."
"DB01297","Avoid natural licorice."
"DB01303","Avoid high doses of caffeine."
"DB01303","Take with food to reduce irritation."
"DB01319","Avoid alcohol, especially with the oral solution since it contains propylene glycol which competes with alcohol for alcohol dehydrogenase metabolism."
"DB01319","Take with or without food, however avoid lipid-rich meals."
"DB01319","Vitamin E increases fosamprenavir bioavailability."
"DB01320","Avoid alcohol."
"DB01320","Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication."
"DB01320","Take with food."
"DB01325","Take with food to increase bioavailability."
"DB01330","Avoid alcohol as it can cause a disulfiram effect."
"DB01340","Food decreases cilazapril absorption with no significant clinical impact."
"DB01340","Take without regard to meals."
"DB01344","Avoid calcium, magnesium and potassium."
"DB01344","Take on an empty stomach."
"DB01348","Avoid alcohol."
"DB01348","Do not take calcium, aluminum, magnesium or iron supplements within 2 hours of taking this medication."
"DB01348","Herbs that may attenuate the antihypertensive effect of spirapril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB01348","High salt intake may attenuate the antihypertensive effect of spirapril."
"DB01348","Spirapril may decrease the excretion of potassium. Salt substitutes containing potassium may increase the risk of hyperkalemia."
"DB01356","Avoid alcohol."
"DB01356","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01356","Avoid iodine supplements."
"DB01356","Do not change your salt intake from day to day without telling your doctor."
"DB01356","Take with food to reduce irritation. Drink plenty of liquids."
"DB01367","Avoid alcohol and caffeine."
"DB01394","Avoid alcohol since it increases uric acid levels."
"DB01394","Drink liberally."
"DB01394","Take without regard to meals."
"DB01395","Food reduces the rate of absorption, but not the extent of absorption."
"DB01396","Avoid avocado."
"DB01396","Avoid bran and high fiber foods within 2 hours of taking this medication."
"DB01396","Avoid excess salt/sodium unless otherwise instructed by your physician."
"DB01396","Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB01396","Avoid salt substitutes containing potassium."
"DB01396","Limit garlic, ginger, gingko, and horse chestnut."
"DB01403","Take with food to reduce irritation."
"DB01406","Take without regard to meals."
"DB01416","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB01418","High doses of vitamin A, C, E and K (e.g. avocado, green vegetables)"
"DB01421","Take with food."
"DB01432","Take with food, do not mix with soft drinks."
"DB01437","Avoid alcohol."
"DB01437","Take without regard to meals."
"DB01438","Take with food to reduce irritation."
"DB01452","Avoid alcohol"
"DB01452","To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables)."
"DB01495","Avoid alcohol."
"DB01501","Ethanol use may increase CNS depression."
"DB01544","Avoid alcohol."
"DB01544","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01544","Avoid taking with grapefruit juice."
"DB01544","Take with food."
"DB01551","Alcohol may enhance CNS depressant effects"
"DB01553","Alcohol used in combination may enhance sedation or cause potentially fatal respiratory/cardiovascular depression."
"DB01567","Avoid alcohol."
"DB01567","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01567","Avoid taking with grapefruit juice."
"DB01580","Avoid alcohol."
"DB01580","Avoid natural licorice."
"DB01580","Take without regard to meals."
"DB01581","Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
"DB01582","Do not take calcium, aluminium, magnesium or iron supplements within 2 hours of taking this medication."
"DB01583","Absorption increased in fasting state and decreased in malabsorption states."
"DB01583","Consistent administration in relation to meals is recommended."
"DB01583","Iron and calcium may interfere with absorption. Space doses at least one hour before or after iron or calcium intake."
"DB01583","Oral administration with infant soybean formula, soybean flour, cotton seed meal, walnuts, foods containing large amounts of fiber, ferrous sulfate, and antacids may decrease drug absorption."
"DB01583","Take 30-60 minutes before breakfast."
"DB01587","Avoid alcohol"
"DB01587","Avoid excessive quantities of coffee or tea (caffeine)."
"DB01587","Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product."
"DB01587","Take with food."
"DB01588","Avoid alcohol."
"DB01588","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01588","Avoid taking with grapefruit juice."
"DB01588","Take with food."
"DB01594","Avoid alcohol."
"DB01594","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01594","Take with food."
"DB01595","Avoid alcohol."
"DB01595","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB01595","Take with food."
"DB01599","Take with food. Food increases availability."
"DB01600","Avoid alcohol."
"DB01600","Take with food."
"DB01601","Avoid St.John's Wort."
"DB01601","Take with food."
"DB01604","Take without regard to meals."
"DB01605","Take without regard to meals."
"DB01608","Take with food to reduce irritation. Avoid alcohol."
"DB01609","Dispersion in carbonated drinks or milk is not recommended due to foaming and slow dispersion, respectively."
"DB01609","Food causes inconsistent increases in the bioavailability of this product."
"DB01609","Tablets should be completely dispersed in water, orange juice or apple juice and the resulting suspension should be ingested immediately (after swallowing the suspension, any residue should be resuspended in a small volume of liquid and swallowed)."
"DB01609","Tablets should be taken on an empty stomach at least 30 minutes before a meal, preferably at the same time everyday."
"DB01613","Avoid alcohol."
"DB01613","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB01614","Avoid alcohol"
"DB01614","Take with food to reduce irritation"
"DB01619","Avoid alcohol."
"DB01619","Take with food to reduce irritation."
"DB01621","Avoid alcohol"
"DB01621","Take with food to decrease irritation"
"DB01622","Avoid alcohol"
"DB01622","Take with food to avoid irritation"
"DB01623","Avoid alcohol"
"DB01626","Food increases the oral bioavailability by 3-5 fold."
"DB01627","Take on an empty stomach, food decreases absorption."
"DB01628","Take without regard to meals."
"DB02546","Oral administration with a high-fat meal resulted in an increase (33%) in the extent of absorption and a modest decrease in the rate of absorption (T<sub>max</sub> delayed 2.5 hours) compared to the fasted state."
"DB02703","Take with food to reduce irritation."
"DB03585","Take with food to reduce irritation."
"DB04571","avoid eating limes, figs, parsley, parsnips, mustard, carrots, and celery while you are being treated with trioxsalen"
"DB04574","Take with food to decrease nausea"
"DB04576","Avoid excessive coffee or tea (caffeine)"
"DB04576","Avoid milk, calcium containing dairy products, iron, magnesium, zinc, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication."
"DB04576","Take with a full glass of water"
"DB04576","Take without regard to meals"
