"primary_key","synonym_Synonyms","language_Synonyms","coder_Synonyms"
"DB00705","N-{2-[4-(3-Isopropylamino-pyridin-2-yl)-piperazine-1-carbonyl]-1H-indol-5-yl}-methanesulfonamide","english",NA
"DB00706","(-)-tamsulosin","english",NA
"DB00706","(R)-(-)-tamsulosin","english",NA
"DB00706","(R)-5-(2-((2-(2-ethoxyphenoxy)ethyl)amino)propyl)-2-methoxybenzenesulfonamide","english",NA
"DB00706","Tamsulosin","english","inn"
"DB00706","Tamsulosina","spanish","inn"
"DB00706","Tamsulosine","french","inn"
"DB00706","Tamsulosinum","latin","inn"
"DB00707","Porfimer natrium","german","inn"
"DB00707","Porfimer sodico","spanish","inn"
"DB00707","Porfimer sodium","english","inn/usan"
"DB00707","Porfimère sodique","french","inn"
"DB00707","Porfimerum natricum","latin","inn"
"DB00708","N-(4-(Methoxymethyl)-1-(2-(2-thienyl)ethyl)-4-piperidinyl)-N-phenylpropanamide","english","iupac"
"DB00708","N-(4-(Methoxymethyl)-1-(2-(2-thienyl)ethyl)-4-piperidyl)propionanilide","english","iupac"
"DB00708","Sufentanil","english/french/german","inn/usan"
"DB00708","Sufentanilo","spanish","inn"
"DB00708","Sufentanilum","latin","inn"
"DB00708","Sufentanyl","english",NA
"DB00709","(-)-1-((2R,5S)-2-(Hydroxymethyl)-1,3-oxathiolan-5-yl)cytosine","english",NA
"DB00709","(-)-2'-Deoxy-3'-thiacytidine","english",NA
"DB00709","2',3'-Dideoxy-3'-thiacytidine","english",NA
"DB00709","3'-Thia-2',3'-dideoxycytidine","english",NA
"DB00709","3TC","english",NA
"DB00709","beta-L-2',3'-Dideoxy-3'-thiacytidine","english",NA
"DB00709","beta-L-3'-Thia-2',3'-dideoxycytidine","english",NA
"DB00709","Lamivudin","german","inn"
"DB00709","Lamivudina","spanish","inn"
"DB00709","Lamivudine","english/french","inn/usan"
"DB00709","Lamivudinum","latin","inn"
"DB00710","ácido ibandrónico","spanish",NA
"DB00710","Ibandronic acid","english","inn"
"DB00711","Diethylcarbamazin","german","inn"
"DB00711","Diéthylcarbamazine","french","inn"
"DB00711","Diethylcarbamazine","english","inn"
"DB00711","Diethylcarbamazinum","latin","inn"
"DB00711","Dietilcarbamazina","spanish","inn"
"DB00712","(±)-2-fluoro-a-methyl-4-biphenylacetic acid","english",NA
"DB00712","2-(2-fluorobiphenyl-4-yl)propanoic acid","english",NA
"DB00712","2-fluoro-a-methyl-(1,1'-biphenyl)-4-acetic acid","english",NA
"DB00712","3-fluoro-4-phenylhydratropic acid","english",NA
"DB00712","Flurbiprofen","english/german","inn/usan"
"DB00712","Flurbiprofene","french","inn"
"DB00712","Flurbiprofeno","spanish","inn"
"DB00712","Flurbiprofenum","latin","inn"
"DB00713","(2S,5R,6R)-3,3-dimethyl-6-{[(5-methyl-3-phenylisoxazol-4-yl)carbonyl]amino}-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","english",NA
"DB00713","(5-methyl-3-phenyl-4-isoxazolyl)penicillin","english",NA
"DB00713","5-methyl-3-phenyl-4-isoxazolyl-penicillin","english",NA
"DB00713","6ß-(5-methyl-3-phenylisoxazol-4-yl)penicillanic acid","english",NA
"DB00713","Ossacillina","italian","dcit"
"DB00713","Oxacilina","spanish","inn"
"DB00713","Oxacillin","english/german","inn"
"DB00713","Oxacilline","french","inn"
"DB00713","Oxacillinum","latin","inn"
"DB00713","Oxazocillin","english",NA
"DB00713","Oxazocilline","french",NA
"DB00714","(-)-10,11-dihydroxyaporphine","english",NA
"DB00714","(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol","english",NA
"DB00714","(R)-5,6,6a,7-tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol","english",NA
"DB00714","Apomorfina","spanish",NA
"DB00714","Apomorphin","german",NA
"DB00714","R-(-)-apomorphine","english",NA
"DB00715","(-)-(3S,4R)-4-(p-fluorophenyl)-3-((3,4-(methylenedioxy)phenoxy)methyl)piperidine","english",NA
"DB00715","(3S-trans)-3-((1,3-benzodioxol-5-yloxy)methyl)-4-(4-fluorophenyl)piperidine","english",NA
"DB00715","Paroxetina","spanish","inn"
"DB00715","Paroxetine","english","inn/usan"
"DB00715","Paroxetinum","latin","inn"
"DB00716","9-Ethyl-6,9-dihydro-4,6-dioxo-10-propyl-4H-pyrano(3,2-g)chinolin-2,8-dicarbonsäure","german",NA
"DB00716","9-ethyl-6,9-dihydro-4,6-dioxo-10-propyl-4H-pyrano(3,2-g)quinoline-2,8-dicarboxylic acid","english",NA
"DB00716","Nédocromil","french","inn"
"DB00716","Nedocromil","english","inn/ban/usan"
"DB00716","Nedocromilo","spanish","inn"
"DB00716","Nedocromilum","latin","inn"
"DB00717","(17alpha)-17-ethynyl-17-hydroxyestra-4,8(14),9-trien-3-one","english",NA
"DB00717","17-hydroxy-19-nor-17-a-pregn-4-en-20-yn-3-one","english",NA
"DB00717","17-hydroxy-19-nor-17a-pregn-4-en-20-yn-3-one","english",NA
"DB00717","17-a-ethynyl-17-hydroxy-4-estren-3-one","english",NA
"DB00717","17-a-ethynyl-19-norandrost-4-en-17-ß-ol-3-one","english",NA
"DB00717","17-a-ethynyl-19-nortestosterone","english",NA
"DB00717","17-a-ethynyl-4-estren-17-ol-3-one","english",NA
"DB00717","17-ß-hydroxy-19-norpregn-4-en-20-yn-3-one","english",NA
"DB00717","17a-ethinyl-19-nortestosterone","english",NA
"DB00717","17a-ethinylestra-4-en-17ß-ol-3-one","english",NA
"DB00717","17a-ethynyl-17-hydroxy-4-estren-3-one","english",NA
"DB00717","17a-ethynyl-17ß-hydroxy-19-norandrost-4-en-3-one","english",NA
"DB00717","17a-ethynyl-19-nor-4-androsten-17ß-ol-3-one","english",NA
"DB00717","17a-ethynyl-19-norandrost-4-en-17ß-ol-3-one","english",NA
"DB00717","17a-ethynyl-19-nortestosterone","english",NA
"DB00717","17a-ethynyl-4-estren-17-ol-3-one","english",NA
"DB00717","17ß-hydroxy-19-norpregn-4-en-20-yn-3-one","english",NA
"DB00717","19-nor-17-a-ethynyl-17-ß-hydroxy-4-androsten-3-one","english",NA
"DB00717","19-nor-17-a-ethynylandrosten-17-ß-ol-3-one","english",NA
"DB00717","19-nor-17-a-ethynyltestosterone","english",NA
"DB00717","19-Nor-17alpha-ethynyl-17beta-hydroxy-4-androsten-3-one","english",NA
"DB00717","19-nor-17a-ethynyl-17ß-hydroxy-4-androsten-3-one","english",NA
"DB00717","19-nor-17a-ethynylandrosten-17ß-ol-3-one","english",NA
"DB00717","19-nor-17a-ethynyltestosterone","english",NA
"DB00717","19-nor-ethindrone","english",NA
"DB00717","19-norethisterone","english",NA
"DB00717","4-estren-17a-ethynyl-17ß-ol-3-one","english",NA
"DB00717","Norethindrone","english","usan"
"DB00717","Norethisteron","german",NA
"DB00717","Noréthistérone","french","inn"
"DB00717","Norethisterone","english","inn"
"DB00717","Norethisteronum","latin","inn"
"DB00717","Noretisterona","spanish","inn"
"DB00718","Adefovir di(pivaloyloxymethyl) ester","english",NA
"DB00718","Adefovir dipivoxil","english","usan"
"DB00718","Adefovir pivoxil","english","jan"
"DB00718","bis-POM PMEA","english",NA
"DB00719","11-(1-Methyl-4-piperidinylidene)-6,11-dihydro-5H-benzo[5,6]cyclohepta[1,2-b]pyridine","english",NA
"DB00719","6,11-Dihydro-11-(1-methyl-4-piperidylidene)-5H-benzo(5,6)cyclohepta(1,2-b)pyridine","english",NA
"DB00719","Azatadin","german","inn"
"DB00719","Azatadina","spanish","inn"
"DB00719","Azatadine","english/french","inn"
"DB00719","Azatadinum","latin","inn"
"DB00720","(Dichloro-phosphono-methyl)-phosphonic acid","english",NA
"DB00720","(dichloromethylene)bisphosphonic acid","english",NA
"DB00720","(dichloromethylene)diphosphonic acid","english",NA
"DB00720","Acide clodronique","french","inn"
"DB00720","Acido clodronico","spanish","inn"
"DB00720","Acidum clodronicum","latin","inn"
"DB00720","Clodronate","english",NA
"DB00720","Clodronic acid","english","inn/usan"
"DB00720","Clodronsaeure","german",NA
"DB00720","Clodronsäure","german",NA
"DB00720","dichloromethylene-1,1-bisphosphonic acid","english",NA
"DB00720","dichloromethylene-1,1-diphosphonic acid","english",NA
"DB00720","Dichloromethylidene diphosphonate","english",NA
"DB00721","2-Diethylaminoethyl p-aminobenzoate","english",NA
"DB00721","4-aminobenzoic acid 2-diethylaminoethyl ester","english",NA
"DB00721","Novocaine","english",NA
"DB00721","p-Aminobenzoic acid 2-diethylaminoethyl ester","english",NA
"DB00721","Procaina","spanish","inn"
"DB00721","Procaine","english","inn"
"DB00721","Procainum","latin","inn"
"DB00721","Vitamin H3","english",NA
"DB00721","ß-(diethylamino)ethyl 4-aminobenzoate","english",NA
"DB00721","ß-(diethylamino)ethyl p-aminobenzoate","english",NA
"DB00722","(S)-1-(N(2)-(1-Carboxy-3-phenylpropyl)-L-lysyl)-L-proline","english",NA
"DB00722","[N2-[(S)-1-carboxy-3-phenylpropyl]-L-lysyl-L-proline","english",NA
"DB00722","Lisinopril","english/spanish/french/german","inn"
"DB00722","Lisinopril anhydrous","english",NA
"DB00722","Lisinoprilum","latin","inn"
"DB00723","Méthoxamédrine","french",NA
"DB00723","Methoxamin","german","inn"
"DB00723","Méthoxamine","french","inn"
"DB00723","Methoxaminum","latin","inn"
"DB00723","Metossamina","english","dcit"
"DB00723","Metoxamina","spanish","inn"
"DB00723","Pseudomethoxamine","english",NA
"DB00724","1-isobutyl-1H-imidazo[4,5-c]quinolin-4-amine","english",NA
"DB00724","4-Amino-1-isobutyl-1H-imidazo(4,5-c)quinoline","english",NA
"DB00724","Imiquimod","english/spanish/french","inn/usan"
"DB00724","Imiquimodum","latin","inn"
"DB00725","3-alpha-Hydroxy-8-methyl-1-alpha-H,5-alpha-H-tropanium bromide mandelate","english",NA
"DB00725","8-Methylhomatropinium bromide","english",NA
"DB00725","Homatropine methylbromide","english","inn"
"DB00725","Homatropini methylbromidum","latin","inn"
"DB00725","Méthylbromure d'homatropine","french","inn"
"DB00725","Methylhomatropine","english",NA
"DB00725","Methylhomatropine bromide","english",NA
"DB00725","Methylhomatropinum bromatum","latin",NA
"DB00725","Metilbromuro de homatropina","spanish","inn"
"DB00725","Omatropina metilbromuro","english",NA
"DB00725","Tropinium methobromide mandelate","english",NA
"DB00726","10,11-dihydro-N,N,ß-trimethyl-5H-dibenz[b,f]azepine-5-propanamine","english",NA
"DB00726","5-(<U+03B3>-dimethylamino-ß-methylpropyl)-10,11-dihydro-5H-dibenzo[b,f]azepine","english",NA
"DB00726","5-[3-(dimethylamino)-2-methylpropyl]-10,11-dihydro-5H-dibenz[b,f]azepine","english",NA
"DB00726","beta-Methylimipramine","english",NA
"DB00726","Trimeprimina","italian",NA
"DB00726","Trimeprimine","english",NA
"DB00726","Trimeproprimine","english",NA
"DB00726","Trimipramina","spanish","inn"
"DB00726","Trimipramine","english/french","inn/usan"
"DB00726","Trimipraminum","latin","inn"
"DB00726","ß-methylimipramine","english",NA
"DB00727","1,2,3-propanetrioltrinitrate","english",NA
"DB00727","1,2,3-propanetriyl nitrate","english",NA
"DB00727","Glycerin trinitrate","english",NA
"DB00727","Glycerol trinitrate","english",NA
"DB00727","Glycerol, nitric acid triester","english",NA
"DB00727","Glyceroli trinitratis","latin","inn"
"DB00727","Glyceroltrinitrat","german","inn"
"DB00727","Glyceryl trinitrate","english",NA
"DB00727","NG","english",NA
"DB00727","Nitroglicerina","english",NA
"DB00727","Nitroglycerin","english",NA
"DB00727","Nitroglycerine","english",NA
"DB00727","Nitroglycerol","english",NA
"DB00727","Nitromed","english",NA
"DB00727","Propane-1,2,3-triyl trinitrate","english",NA
"DB00727","Trinitrine","french","inn"
"DB00727","Trinitroglycerin","english",NA
"DB00727","Trinitroglycerol","english",NA
"DB00728","Rocuronio","spanish",NA
"DB00728","Rocuronium","english",NA
"DB00730","2-(1,3-thiazole-4-yl)-1H-benzimidazole","english",NA
"DB00730","2-(4-thiazolyl)-1H-benzimidazole","english",NA
"DB00730","2-(thiazol-4-yl)benzimidazole","english",NA
"DB00730","4-(2-benzimidazolyl)thiazole","english",NA
"DB00730","TBDZ","english",NA
"DB00730","Thiabendazole","english","usan"
"DB00730","Tiabendazol","spanish","inn"
"DB00730","Tiabendazole","english","inn"
"DB00730","Tiabendazolum","latin","inn"
"DB00731","nateglinida","spanish","inn"
"DB00731","Nateglinide","english","inn/usan"
"DB00732","Atracurium besilate","english","inn"
"DB00732","Atracurium besylate","english","usan"
"DB00732","Atracurium dibesylate","english",NA
"DB00732","Besilate d'atracurium","french","inn"
"DB00732","Besilato de atracurio","spanish","inn"
"DB00733","2-PAM","english",NA
"DB00733","Pralidoxim","german","inn"
"DB00733","Pralidoxima","spanish","inn"
"DB00733","Pralidoxime","english/french","inn"
"DB00733","Pralidoximum","latin","inn"
"DB00734","Risperidona","spanish","inn"
"DB00734","Risperidone","english","inn/usan"
"DB00734","Rispéridone","french","inn"
"DB00734","Risperidonum","latin","inn"
"DB00735","Naftifin","german","inn"
"DB00735","Naftifina","spanish","inn"
"DB00735","Naftifine","english/french","inn"
"DB00735","Naftifinum","latin","inn"
"DB00736","(-)-omeprazole","english",NA
"DB00736","(S)-(-)-omeprazole","english",NA
"DB00736","(S)-omeprazole","english",NA
"DB00736","Esomeprazol","spanish/german","inn"
"DB00736","Ésoméprazole","french","inn"
"DB00736","Esomeprazole","english","inn"
"DB00736","Esomeprazolum","latin","inn"
"DB00736","Omeprazole S-form","english",NA
"DB00736","Perprazole","english",NA
"DB00737","Meclizine","english","ban"
"DB00737","Meclozina","spanish",NA
"DB00737","Meclozine","english","inn"
"DB00738","1,5-bis(4-amidinophenoxy)pentane","english",NA
"DB00738","4,4'-(1,5-pentanediylbis(oxy))bis-benzenecarboximidamide","english",NA
"DB00738","4,4'-(pentamethylenedioxy)dibenzamidine","english",NA
"DB00738","4,4'-Diamidinodiphenoxypentane","english",NA
"DB00738","p,p'-(pentamethylenedioxy)dibenzamidine","english",NA
"DB00738","Pentamidin","german","inn"
"DB00738","Pentamidina","spanish","inn"
"DB00738","Pentamidine","english/french","inn"
"DB00738","Pentamidinum","latin","inn"
"DB00739","(2S,5R,6R)-6-[(4R)-2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","english",NA
"DB00739","6ß-[(4R)-2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl]penicillanic acid","english",NA
"DB00739","Hetacilina","spanish","inn"
"DB00739","Hetacillin","english","inn"
"DB00739","Hétacilline","french","inn"
"DB00739","Hetacillinum","latin","inn"
"DB00740","Riluzol","spanish/german","inn"
"DB00740","Riluzole","english/french","inn/usan"
"DB00740","Riluzolum","latin","inn"
"DB00741","(11ß)-11,17,21-trihydroxypregn-4-ene-3,20-dione","english",NA
"DB00741","11beta-hydrocortisone","english",NA
"DB00741","11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione","english",NA
"DB00741","11ß-hydrocortisone","english",NA
"DB00741","17-Hydroxycorticosterone","english",NA
"DB00741","4-pregnen-11ß,17a,21-triol-3,20-dione","english",NA
"DB00741","Cortisol","english",NA
"DB00741","Hidrocortisona","spanish","inn"
"DB00741","Hydrocortisone","english","inn"
"DB00741","Hydrocortisonum","latin","inn"
"DB00741","Kendall's compound F","english",NA
"DB00741","Reichstein's substance M","english",NA
"DB00742","(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexaol","english",NA
"DB00742","(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol","english",NA
"DB00742","D-(-)-Mannitol","english",NA
"DB00742","D-Mannitol","english",NA
"DB00742","Manitol","spanish","inn"
"DB00742","Manna Sugar","english",NA
"DB00742","Mannit","english",NA
"DB00742","Mannite","english",NA
"DB00742","Mannitol","french/german","inn/usp"
"DB00742","Mannitolum","latin","inn"
"DB00743","Acide gadobenique","french","inn"
"DB00743","Acido gadobenico","spanish","inn"
"DB00743","Acidum gadobenicum","latin","inn"
"DB00743","Gadobenate","english",NA
"DB00743","Gadobenic acid","english","inn/ban"
"DB00743","Gadobensäure","german","inn"
"DB00744","(±)-1-(1-Benzo[b]thien-2-ylethyl)-1-hydroxyurea","english",NA
"DB00744","Leutrol","english",NA
"DB00744","N-(1-Benzo(b)thien-2-ylethyl)-N-hydroxyurea","english",NA
"DB00744","N-[1-(benzo[b]thiophen-2-yl)ethyl]-N-hydroxyurea","english",NA
"DB00744","Zileuton","english/french","inn/usan"
"DB00744","Zileutón","spanish","inn"
"DB00744","Zileutonum","latin","inn"
"DB00745","2-((diphenylmethyl)sulfinyl)acetamide","english",NA
"DB00745","Modafinil","english","inn/usan"
"DB00745","Modafinilo","spanish",NA
"DB00745","Modafinilum","latin",NA
"DB00746","Deferoxamin","german","inn"
"DB00746","Deferoxamina","spanish","inn"
"DB00746","Déferoxamine","french","inn"
"DB00746","Deferoxamine","english","inn/usan"
"DB00746","Deferoxaminum","latin","inn"
"DB00746","Deferrioxamine","english",NA
"DB00746","Deferrioxamine B","english",NA
"DB00746","Desferrioxamine","english","ban"
"DB00746","DFO","english",NA
"DB00746","DFOA","english",NA
"DB00746","DFOM","english",NA
"DB00747","(-)-hyoscine","english",NA
"DB00747","(-)-scopolamine","english",NA
"DB00747","(1S,3S,5R,6R,7S)-6,7-Epoxytropan-3-yl (2S)-3-hydroxy-2-phenylpropanoate","english",NA
"DB00747","6-beta,7-beta-Epoxy-3-alpha-tropanyl S-(-)-tropate","english",NA
"DB00747","6,7-Epoxytropine tropate","english",NA
"DB00747","alpha-(Hydroxymethyl)benzeneacetic acid 9-methyl-3-oxa-9-azatricyclo(3.3.1.0(2.4))non-7-yl ester","english",NA
"DB00747","Hyoscine","english",NA
"DB00747","scopine (-)-tropate","english",NA
"DB00747","scopine (-)-tropate","english",NA
"DB00747","Scopolamine hydrobromide","english",NA
"DB00748","(±)-carbinoxamine","english",NA
"DB00748","{2-[(4-Chloro-phenyl)-pyridin-2-yl-methoxy]-ethyl}-dimethyl-amine","english",NA
"DB00748","2-(p-chloro-a-(2-(dimethylamino)ethoxy)benzyl)pyridine","english",NA
"DB00748","Carbinoxamin","german","inn"
"DB00748","Carbinoxamina","spanish","inn"
"DB00748","Carbinoxamine","english/french","inn"
"DB00748","Carbinoxamine base","english",NA
"DB00748","Carbinoxaminum","latin","inn"
"DB00748","Paracarbinoxamine","english",NA
"DB00749","(±)-1,8-diethyl-1,3,4,9-tetrahydropyrano(3,4-b)indole-1-acetic acid","english",NA
"DB00749","(1,8-Diethyl-1,3,4,9-tetrahydro-pyrano[3,4-b]indol-1-yl)-acetic acid","english",NA
"DB00749","1,3,4,9-tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid","english",NA
"DB00749","1,8-diethyl-1,3,4,9-tetrahydropyrano(3,4-b)indole-1-acetic acid","english",NA
"DB00749","1,8-diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-ylacetic acid","english",NA
"DB00749","Étodolac","french","inn"
"DB00749","Etodolac","english","inn/ban/usan"
"DB00749","Etodolaco","spanish","inn"
"DB00749","Etodolacum","latin","inn"
"DB00749","Etodolic acid","english",NA
"DB00749","Etodolsäure","german",NA
"DB00750","2-(Propylamino)-o-propionotoluidide","english",NA
"DB00750","2-Methyl-alpha-propylaminopropionanilide","english",NA
"DB00750","alpha-n-Propylamino-2-methylpropionanilide","english",NA
"DB00750","N-(2-Methylphenyl)-2-(propylamino)propanamide","english",NA
"DB00750","o-Methyl-2-propylaminopropionanilide","english",NA
"DB00750","o-Methyl-alpha-propylaminopropionanilide","english",NA
"DB00750","Prilocain","german",NA
"DB00750","Prilocaina","spanish","inn"
"DB00750","Prilocaïne","french","inn"
"DB00750","Prilocaine","english","inn/usan"
"DB00750","Prilocaine base","english",NA
"DB00750","Prilocainum","latin","inn"
"DB00750","Propitocaine","english","jan"
"DB00751","(±)-epinastine","english",NA
"DB00751","3-amino-9,13b-dihydro-1H-dibenz(c,f)imidazo(1,5-a)azepine","english",NA
"DB00751","Epinastin","german","inn"
"DB00751","Epinastina","spanish","inn"
"DB00751","Epinastine","english","inn"
"DB00751","épinastine","french","inn"
"DB00751","Epinastinum","latin","inn"
"DB00752","(±)-trans-2-phenylcyclopropylamine","english",NA
"DB00752","(1R*,2S*)-2-phenylcyclopropan-1-amine","english",NA
"DB00752","dl-tranylcypromine","english",NA
"DB00752","Racemic Tranylcypromine","english",NA
"DB00752","Tranilcipromina","spanish","inn"
"DB00752","trans-2-phenylcyclopropylamine","english",NA
"DB00752","trans-DL-2-Phenylcyclopropylamine","english",NA
"DB00752","Transamine","english",NA
"DB00752","Tranylcypromin","german","inn"
"DB00752","Tranylcypromine","english/french","inn"
"DB00752","Tranylcyprominum","latin","inn"
"DB00753","1-chloro-2,2,2-trifluoroethyl difluoromethyl ether","english",NA
"DB00753","Isoflurane","english","inn/ban/jan/usan"
"DB00753","Isoflurano","spanish","inn"
"DB00753","Isofluranum","latin","inn"
"DB00754","(±)-3-ethyl-5-phenylhydantoin","english",NA
"DB00754","1-ethyl-2,5-dioxo-4-phenylimidazolidine","english",NA
"DB00754","3-ethyl-5-phenyl-2,4-imidazolidinedione","english",NA
"DB00754","3-Ethyl-5-phenyl-imidazolidine-2,4-dione","english",NA
"DB00754","3-ethyl-5-phenylhydantoin","english",NA
"DB00754","3-ethyl-5-phenylimidazolidin-2,4-dione","english",NA
"DB00754","Ethotoin","english/german","inn"
"DB00754","Ethotoïne","french","inn"
"DB00754","Ethotoinum","latin","inn"
"DB00754","Etotoina","spanish","inn"
"DB00755","(all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid","english",NA
"DB00755","3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL)","english",NA
"DB00755","Acide retinoique","french",NA
"DB00755","all trans Retinoic acid","english",NA
"DB00755","all trans-Retinoic acid","english",NA
"DB00755","all-(E)-Retinoic acid","english",NA
"DB00755","all-trans-beta-Retinoic acid","english",NA
"DB00755","all-trans-Retinoic acid","english",NA
"DB00755","all-trans-Tretinoin","english",NA
"DB00755","all-trans-Vitamin A acid","english",NA
"DB00755","all-trans-Vitamin A1 acid","english",NA
"DB00755","ATRA","english",NA
"DB00755","beta-Retinoic acid","english",NA
"DB00755","Retinoic acid","english",NA
"DB00755","Retionic acid","english",NA
"DB00755","trans-Retinoic acid","english",NA
"DB00755","Tretin M","english",NA
"DB00755","Tretinoin","english/german","inn/usan"
"DB00755","Tretinoina","spanish","inn"
"DB00755","Trétinoïne","french","inn"
"DB00755","Tretinoinum","latin","inn"
"DB00755","Vitamin A acid","english",NA
"DB00756","2,2'-dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane","english",NA
"DB00756","2,2'-dihydroxy-3,5,6,3',5',6'-hexachlorodiphenylmethane","english",NA
"DB00756","2,2'-methanediylbis(3,4,6-trichlorophenol)","english",NA
"DB00756","2,2'-methylenebis(3,4,6-trichlorophenol)","english","iupac"
"DB00756","2,2',3,3',5,5'-hexachloro-6,6'-dihydroxydiphenylmethane","english",NA
"DB00756","bis(2-hydroxy-3,5,6-trichlorophenyl)methane","english",NA
"DB00756","bis(3,5,6-trichloro-2-hydroxyphenyl)methane","english",NA
"DB00756","hexachlorophène","french","inn"
"DB00756","Hexachlorophene","english","inn"
"DB00756","Hexachlorophenum","latin","inn"
"DB00756","Hexaclorofeno","spanish","inn"
"DB00757","Dolasetron","english/spanish/german","inn"
"DB00757","Dolasétron","french","inn"
"DB00757","Dolasetronum","latin","inn"
"DB00758","(+)-Clopidogrel","english",NA
"DB00758","Clopidogrel","english/spanish/french","inn"
"DB00758","Clopidogrelum","latin","inn"
"DB00759","(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide","english",NA
"DB00759","Abramycin","english",NA
"DB00759","Anhydrotetracycline","english",NA
"DB00759","Deschlorobiomycin","english",NA
"DB00759","Tetracyclin","german",NA
"DB00759","Tétracycline","french","inn"
"DB00759","Tetracycline","english","inn"
"DB00759","Tetracyclinum","latin","inn"
"DB00759","Tetrazyklin","german",NA
"DB00759","Tsiklomitsin","english",NA
"DB00760","(4R,5S,6S)-3-{[(3S,5S)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]thio}-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid","english",NA
"DB00760","Meropenem","english/spanish/french/german","inn"
"DB00760","Meropenem anhydrous","english",NA
"DB00760","Meropenemum","latin","inn"
"DB00761","Chlorid draselny","czech",NA
"DB00761","Chloride of potash","english",NA
"DB00761","Kaliumchlorid","english",NA
"DB00761","KCl","english",NA
"DB00761","Monopotassium chloride","english",NA
"DB00761","Muriate of potash","english",NA
"DB00761","Sylvite","english",NA
"DB00762","(+)-Irinotecan","english",NA
"DB00762","Irinotecan","english","inn"
"DB00762","Irinotecan lactone","english",NA
"DB00762","Irinotecanum","latin","inn"
"DB00763","1-Methylimidazole-2(3H)-thione","english",NA
"DB00763","Methimazole","english","usan"
"DB00763","Thiamazol","french","inn"
"DB00763","Thiamazole","english","inn"
"DB00763","Thiamazolum","latin","inn"
"DB00763","Tiamazol","spanish","inn"
"DB00764","(+)-Mometasone","english",NA
"DB00764","Mometason","german","inn"
"DB00764","Mometasona","spanish","inn"
"DB00764","Mométasone","french","inn"
"DB00764","Mometasone","english","inn"
"DB00764","Mometasonum","latin","inn"
"DB00765","(-)-alpha-Methyl-L-tyrosine","english",NA
"DB00765","(–)-a-methyl-L-tyrosine","english",NA
"DB00765","(S)-alpha-Methyltyrosine","english",NA
"DB00765","Methyltyrosine","english",NA
"DB00765","Metirosin","german","inn"
"DB00765","Metirosina","spanish","inn"
"DB00765","Métirosine","french","inn"
"DB00765","Metirosine","english","inn"
"DB00765","Metirosinum","latin","inn"
"DB00765","Metyrosine","english","usan"
"DB00765","a-methyl-L-p-tyrosine","english",NA
"DB00765","a-methyl-p-tyrosine","english",NA
"DB00765","a-methyl-para-tyrosine","english",NA
"DB00765","a-MPT","english",NA
"DB00766","(Z)-(2R,5R)-3-(2-Hydroxyethylidene)-7-oxo-4-oxa-1-azabicyclo(3.2.0)heptane-2-carboxylic acid","english",NA
"DB00766","Acide clavulanique","french","inn"
"DB00766","ácido clavulánico","spanish","inn"
"DB00766","Acidum clavulanicum","latin","inn"
"DB00766","Clavulanate","english",NA
"DB00766","Clavulanic acid","english","inn"
"DB00766","Clavulansäure","german",NA
"DB00767","benzquinamida","spanish","inn"
"DB00767","BZQ","english",NA
"DB00768","Olopatadin","german","inn"
"DB00768","Olopatadina","spanish","inn"
"DB00768","Olopatadine","english/french","inn/ban"
"DB00768","Olopatadinum","latin","inn"
"DB00769","17-Hydroxycorticosterone, 21-(diethylamino)acetate","english",NA
"DB00769","Hidrocortamato","spanish","inn"
"DB00769","Hydrocortamate","english","inn"
"DB00769","Hydrocortamatum","latin","inn"
"DB00770","(11a,13E,15S)-11,15-dihydroxy-9-oxoprost-13-en-1-oic acid","english",NA
"DB00770","(13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate","english",NA
"DB00770","11a,15a-dihydroxy-9-oxo-13-trans-prostenoic acid","english",NA
"DB00770","Alprostadil","english/spanish/french","inn/usan"
"DB00770","Alprostadilum","latin","inn"
"DB00770","PGE-1","english",NA
"DB00770","PGE1","english",NA
