lastname,address,phone,specialties
Dr. Christian W. Diviak,"Mannswörther Straße 59-61/21, 2320 Mannswörth",01/7068600,"Hautarzt | Hautarzt, Praktischer Arzt,Wahlarzt u. Privat"
Dr. Clemens Kauer,"Brehmstraße 12/2/7, 1110 Wien",01/7674411,Hautarzt
Dr. Ingrid Heinrich,"Lorystraße 48/5, 1110 Wien",01/749 41 02,Hautärztin
Prim. Univ.Prof. Dr. Franz Trautinger,"Dietmayrgasse 1/2/4, 1200 Wien",01/3307010,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Harald Pircher,"Leithastraße 25, 1200 Wien",01/3305905,Hautarzt
Dr. Sylvia Perl-Convalexius,"Wallensteinstraße 68-72/3/5, 1200 Wien",01/330 30 90,Hautärztin
Dr. Elena Hudl,"Leystraße 42, 1200 Wien",01/8906999,Hautärztin
"Dr. Sabine Stolkovich, MSc.","Pius-Parsch-Platz 1, 2 Stock, Top 9, 1210 Wien",01/2707813,"Hautärztin | Hautärztin, Angiologin"
Dr. Barbara Borst-Krafek,"Brünner Straße 108/5/5, 1210 Wien",01/2921677,"Hautärztin | Hautärztin, Angiologin"
Univ.Prof. Dr. Reinhart Jarisch,"Pius-Parsch-Platz 1/3, 1210 Wien",01/2702541,"Hautarzt | Hautarzt,Wahlarzt"
Dozent Mag. Dr. Stefan Wöhrl,"Pius-Parsch-Platz 1/3, 1210 Wien",01/2702542,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Monika Saxa-Enenkel,"Pastorstraße 2a/7, 1210 Wien",01/2572146,"Hautärztin | Hautärztin, Tropenmedizinerin"
Univ.Prof. Dr. Angelika Stary,"Franz Jonas-Platz 8/2/3, 1210 Wien",01/270 72 43-0,Hautärztin
Dr. Werner Seifert,"Brünner Straße 219/A1/11, 1210 Wien",01/29 42 160,Hautarzt
Dr. Bahareh Keschavarz,"Wagramer Straße 102/2/4, 1220 Wien",01/202 65 00,"Hautärztin | Hautärztin, Angiologin"
Dr. Berndt Johann Mühlbauer,"Wagramer Straße 25/2/2/4, 1220 Wien",0664/4569201,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Manon Der-Petrossian,"Wagramer Straße 152/5/35C, 1220 Wien",01/203 67 25,Hautärztin
Dr. Markus Willeit,"Stadlauerstraße 62 / 5. OG, 1220 Wien",01/8909530,Hautarzt
OMR Dr. Gabriele Grabner,"Arnikaweg 117/2/6, 1220 Wien",01/2828722,Hautärztin
Dr. Daniela Karimian-Teherani,"Langobardenstraße 176/2/2, 1220 Wien",01/285 25 95,Hautärztin
Dr. Eva-Maria Putz,"Langobardenstraße 126/4/6, 1220 Wien",01/285 51 31,Hautärztin
Dr. Maren Bolhar-Nordenkampf,"Maria-Tusch-Str. 2/2/1, 1220 Wien",0680 / 2219749,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Verena Lackner,"Kagranerplatz 1-4/ K1 Einkaufszentrum/ Stiege 1/ 5.Stock/ Top 35c, 1220 Wien",0680/5010150,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Helmut Eichberger,"Grawatschgasse 4/11, 1230 Wien",01/869 01 70,"Hautarzt | Hautarzt, Angiologe"
Dr. Christian Seidler,"Auf der Schanz 44, 1230 Wien",01/699 90 21,"Hautarzt | Hautarzt, Angiologe"
Dr. Aynur Aslan,"Porschestraße 29/13, 1230 Wien",01/243 0303,"Hautärztin | Hautärztin, Angiologin"
Dr. Anna Maria Convalexius,"Endresstraße 125, 1230 Wien",01/889 23 19,Hautärztin
Dr. Walter Klein,"Breitenfurter Straße 360/1, 1230 Wien",01/8699900,Hautarzt
Dr. Claudia Marouschek,"Engelshofengasse 6/ A12, 1230 Wien",0676/485 23 09,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Helga Springinsfeld,"Rathausplatz 5, 2000 Stockerau",02266/62211,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Manfred Postl,"Brodschildstraße 4, 2000 Stockerau",02266/69711,Hautarzt
Dr. Michael Thomas Marker,"Hauptplatz 3, 2115 Ernstbrunn",02576/2403,"Hautarzt | Hautarzt,Privat"
Dr. Anna Pinkowicz,"Eduard Rösch-Straße 35/4, 2000 Stockerau",0676 / 4958986,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Walter Rabl,"Sparkassegasse 36, 2020 Hollabrunn",02952/30200,Hautarzt
Priv. Doz. Dr. Maximilian Aichelburg,"Eduard Rösch-Straße 35/4 , 2000  Stockerau",0676/495 89 86 ,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Alexander Stella,"Michael Wachberger Straße 14, 3430 Tulln",0664/5030344,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Krista Ainedter,"Rudolf-Buchinger-Str. 31, 3430 Tulln an der Donau",02272/64 25 10,Hautärztin
Dr. Sylvia Orasche,"Franz Josef Straße 11, 3430 Tulln",02272/61423,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Margit Kruger,"Dr. Karl Liebleitner Ring 18/1, 2100 Korneuburg",02262/635 35,Hautärztin
Dr. Martina Aumayr,"Bisamberger Straße 19/4, 2100 Korneuburg",0664/457 66 57,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Doz. Dr. Peter Neuner,"Kierlinger Straße 19/6, 3400 Klosterneuburg",02243/33488,Hautarzt
Dr. Monika Fohr,"Stadtplatz 4/12, 3400 Klosterneuburg",0699/108 01 691,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Christa Erasim,"Stadtplatz 10 - 11 / 1 / 4, 3400 Klosterneuburg",02243/27127,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Beatrix Scharner,"Schömergasse 1, 3400 Klosterneuburg",0664/242 66 99,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Astrid Maria Udvardi,"Schrödingergasse 2/1, 2201 Gerasdorf",0681/104 732 92,"Hautärztin | Hautärztin,Wahlärztin"
Ao.Univ.Prof. Dr. Rainer Kunstfeld,"Währinger Straße 115/14, 1180 Wien Wien",01/4030030,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Mariella Salomon,"Hauptstrasse 2/3, 2120 Wolkersdorf",0660/1018327,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Regina Wildling,"Leopold Figl-Gasse 10, 2130 Mistelbach",02572 / 53800,Hautärztin
Dr. Andrea Gotschim,"Rathausgasse 1-3, 2136 Laa an der Thaya",02522/85600-0,Hautärztin
Dr. Gertraud Kaufmann,"Hans Kudlich-Gasse 11/1/3, 2230 Gänserndorf",02282/605 20,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Edith Maria Theresia Gindl,"Hans Kudlich-Gasse 2, 2230 Gänserndorf",02282/60 118,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Regina Raab,"Bahnstraße 28, 2230 Gänserndorf",02282/5070,Hautärztin
Dr. Tamara Meissnitzer,"Schlossplatz 10, 2361 Laxenburg",02236/384307,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
OÄ Dr. Christiane Stöberl,"Pfarrgasse 15, 2340 Mödling",02236/21 552,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Manuela Jansa,"Hyrtlstraße 30, 2340 Mödling",02236/24240,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Michael Zloczower,"Badstraße 49, 2340 Mödling",02236/25081,Hautarzt
Dr. Rainer Zuchristian,"Hauptstraße 24, 2340 Mödling",02236/23 58 10,Hautarzt
Dr. Erika Ivancic-Brandenberger,"Friedrich-Schiller-Straße 69, 2340 Mödling",02236/24353,Hautärztin
Dr. Michael Thomas Marker,"Georg Sigl-Straße 30, 2384 Breitenfurt",0660/3893836,"Hautarzt | Hautarzt,Privat"
Dr. Christine Messeritsch-Fanta,"Neusiedlerstraße 19, 2340 Mödling",02236/866 066,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Christian W. Diviak,"Hartlgasse 15, 2486 Pottendorf",02623/73147,"Hautarzt | Hautarzt, Praktischer Arzt,Wahlarzt u. Privat"
"Priv. Doz. Dr. Julia Frühauf, MSc","Hauptstraße 98/2/1, 2344 Maria Enzersdorf",02236/30 40 86-0,"Hautärztin | Hautärztin,Wahlärztin"
Mag. Dr. Alexandra Fritz,"Neustiftgasse 16, 2352 Gumpoldskirchen",0650/7003019,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Daniela Filz-Mellek,"Mühlgasse 1, 2353 Guntramsdorf",02236/32 00 48,"Hautärztin | Hautärztin,Wahlärztin"
OA Priv.Doz. Dr. Hans Skvara,"Veltlinerstraße 2-6/3/3, 2353 Guntramsdorf",0699/19 33 44 31,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Klaus Guggenberger,"Ehrenbrunnergasse 14/1, 2320 Schwechat",01/707 61 60,Hautarzt
Dr. Alexander Stella,"Möwenweg 1, 2320 Schwechat / Rannersdorf",01/7014554,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Martin Zikeli,"Johannesgasse 9, 2372 Gießhübl",0699 / 10900990,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Theodor Stallmeister,"Hochstraße 17, 2380 Perchtoldsdorf",01/865 27 70,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Kerstin Beringer-Jäger,"Hochbergstraße 2/3, 2380 Perchtoldsdorf",0676/402 72 71,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Marietta Weinmann,"Marktplatz 19/2, 2380 Perchtoldsdorf",0676/88771311,"Hautärztin | Hautärztin, Schwerpunkt: Ästhetische Medizin,Wahlärztin u. Privat"
Univ. Prof. Dr. Franz Karlhofer,"Marktplatz 15, 2380 Perchtoldsdorf",01/8690210,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Klaus Toblier,"Erzherzog Wilhelm-Ring 1-3/3, 2500 Baden",02252/444 62,"Hautarzt | Hautarzt, Angiologe"
Dr. Susanne Scholz,"Dörflergasse 45, 2500 Baden",0664/938 42 86,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Christian Grünwald,"Grundauerweg 15, 2500 Baden",02252/90 100,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Erik Müller,"Braitnerstraße 36, 2500 Baden",02252/48278,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Wolfgang Sellner,"Helenenstraße 9, 2500 Baden",02252/424 24,Hautarzt
Dr. Johannes Zajc,"Kaiser Franz Josef Ring 9, 2500 Baden",02252/852 10,Hautarzt
Dr. Barbara Mayer,"Kaiser Franz Joseph Ring 26/1, 2500 Baden",02252/254325,Hautärztin
Dr. Gerda Goëss,"Melkergasse 33/1, 2514 Traiskirchen",0650 / 885 6686,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Barbara Rosado-Schmidt,"Hauptplatz 17, Arkadia Top 9, 2514 Traiskirchen",02252/254900,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Brigitte Zierhofer,"Bachgasse 2a, 3003 Gablitz",02231/65 200,"Hautärztin | Hautärztin, Praktische Ärztin,Wahlärztin"
Dr. Franz Heinzl,"Bachgasse 4/2, 3002 Purkersdorf",02231/677 76,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Florian Honetz,"Linzer Straße 3, 3002 Pukersdorf",02231/64 2 69,Hautarzt
OA Dr. Walter Scholz,"Postgasse 4, 9500 Villach", 0676/4270918,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Martina Hörschläger,"Freistädter Straße 283, 4040 Linz",0660/744 0063,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
OA Dr. Michael Takacs,"Amlacher Straße 12, 9900 Lienz",0699/185 71 046,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Peter Johann Preinfalk,"Promenade 11, 4240 Freistadt",07942/73 666,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Sabine Huber,"Werdenbergerstraße 9a, 6700 Bludenz",05552/63 546,Hautärztin
Dr. Alexander Rexeisen,"Gösseringlände 7, 9620 Hermagor",04282/251 15,Hautarzt
Dr. Martha Maria Humer,"Oberfeldstraße 54, 4600 Wels",07242/20 64 54,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Eva Maria Chwalla,"Lustenauerstrasse 64/1OG/5b, 6850 Dornbirn",05572/890010,"Hautärztin | Hautärztin, Angiologin,Wahlärztin"
Dr. Adriana Neubauer,"Schwarzottstraße 2/2, 2620 Neunkirchen",02635/62 878,"Hautärztin | Hautärztin, Angiologin"
Medizinalrat Dr. Herwig Melbinger,"Julius Raab-Promenade 39, 3100 St. Pölten",02742/352095,"Hautarzt | Hautarzt, Angiologe"
Dr. Vera Kaier,"Joseph-Haydn-Gasse 40, 7000 Eisenstadt",02682/62168,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ulrike Wieland,"Ernest-Thun-Straße 12, 5020 Salzburg",0664/88931720,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Martina Sandhofer,"Leonfeldnerstraße 133, 4040 Linz",0732/75 07 90,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Beatrix Gasser,"Kochstraße 1, 6020 Innsbruck",0512/560385,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Manfred Wieser,"Johann Wolf Str. 13, 5020 Salzburg",0662/841 226,Hautarzt
Doz. Dr. Christina Ambros-Rudolph,"Gleisdorfer Gasse 15, 8010 Graz",0316/812699,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Paul Sietzen,"Nonntaler Hauptstraße 56a, 5020 Salzburg",0662/831 308,Hautarzt
Dr. Christian Schuster,"Ressavarstraße 64, 8230 Hartberg",0664/541 08  30,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Soraya Elisabeth Navysany,"St.-Peter-Hauptstraße 50, 8042 Graz",0316/424156,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Klaudia Fiedler,"Südtirolerstraße 33, 4020 Linz",0732/6005601,"Hautärztin | Hautärztin,Wahlärztin"
Dr. me. Dipl.-Biol. Michael Ulrich Huesmann,"Kuffergasse 5/ Eingang Salzgasse 8, 5400 Hallein",06245/804 43,Hautarzt
Dr. Sonja Schweighofer,"Stockhofstraße 3, 4020 Linz",0732/65 80 30,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Emil Andonov,"Hauptstraße 7A, 4861 Schörfling",07662 / 57056,"Hautarzt | Hautarzt,Wahlarzt"
"Dr. Martin Barsch, MBA","Starhembergstrasse 12/3, 4020 Linz",0732/797 656,"Hautarzt | Hautarzt,Privat"
Dr. Gita Gharari,"Grazerstrasse 42, 2700 Wiener Neustadt",02622/27 800,Hautärztin
Dr. Hannes Trattner,"Hauptstraße 7, 3170 Hainfeld",02764/2610,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Roland Paul Haberl,"Trattengasse 8, 9500 Villach",0680/308 78 15,"Hautarzt | Hautarzt,Wahlarzt"
Priv.- Doz. Dr. Martin Inzinger,"Kölnhofallee 17, 9300 St.Veit/Glan",04212/33860,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Kristina Semmelweis,"Johann Kodatschstrasse 1, 7000 Eisenstadt",0664/2815850,"Hautärztin | Hautärztin,Wahlärztin"
Univ.Prof. Dr. Steven Kaddu,"Peter-Rosegger-Straße 115, 8052 Graz",0650/2510771,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Thomas Untergrabner,"Bahngasse 39, 2700 Wiener Neustadt",0680/2234537,"Hautarzt | Hautarzt, Praktischer Arzt,Wahlarzt u. Privat"
Dr. Martin Frömmel,"Rathausgasse 16, 4060 Leonding",0732670609,"Hautarzt | Hautarzt,Wahlarzt"
"Priv.Doz. Dr. Christiane Thallinger, MSc, MBA","Grazerstraße 6, 8850 Murau",03532/45111,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
OA Dr. Alexander Mlynek,"Hauptplatz 23, 4190 Bad Leonfelden",07213/21122,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Manfred Fiebiger,"Linzer Gasse 4, 5020 Salzburg",0662/87 69 60,Hautarzt
Dr. Nikolaus Schicher,"Henselstraße 5/ HP, 9020 Klagenfurt",0463/504100,"Hautarzt | Hautarzt,Wahlarzt u. Privat"
Dr. Helmut Aichinger,"Bahnhofstraße 12, 9020 Klagenfurt",0463/501090,Hautarzt
Dr. Stefan Werner,"Bergmanngasse 8, 8010 Graz", 0316 /318 872  11,"Hautarzt | Hautarzt,Wahlarzt"
Univ.Prof. Dr. Laila El Shabrawi-Caelen,"Engelgasse 6/1/Tür 8, 8010 Graz",0664/85 96 604,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Elena Biricz,"Franz-Kober-Gasse 34a/1, 2700 Wiener Neustadt",02622/27066,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Andrea Math,"Neustiftgasse 26, 2472 Prellenkirchen",02145/2201,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ivo Weidenhoffer,"Teichgasse 1A, 7100 Neusiedl am See",02167/40403,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Wolfgang Jochmann,"Johngasse 3, 2460 Bruck an der Leitha",02162/661 84,Hautarzt
Dr. Doris Millendorfer,"Hauptstraße 41a, 2491 Neufeld an der Leitha",02624/548 05,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Barbara Gilly,"Grazerstraße 37, 2604 Theresienfeld",0676/552 14 84,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Barbara Kainz,"Hauptstrasse 4, 7000 Eisenstadt",0676/5521484,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Rosemarie Moser,"Hauptstraße 11, 7000 Eisenstadt",02682/644 49,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Herbert Weltler,"Hauptstraße 4, 7000 Eisenstadt",02682/65888,Hautarzt
Dr. Alfred Franz Wand,"Zehnergasse 3, 2700 Wiener Neustadt",02622/844 84,Hautarzt
Dr. Ludwig Dworak,"Brodtischgasse 28, 2700 Wiener Neustadt",02622/863 99,Hautarzt
Dr. Astrid Zimmermann,"Badner Straße 8, 2540 Bad Vöslau",0660/730 66 69,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Barbara Anegg,"Rudolf Reiter Straße 11, 2540 Bad Vöslau",0664/506 87 48,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Angelika C. Stockreiter,"J.F. Kennedy-Platz 2, 2560 Berndorf",0664/735 13 793,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Daniela Degen,"Ared Straße 7/2/201, 2544 Leobersdorf",0664/505 93 17,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Maria Kundracikova,"Kirchenplatz 1, 2870 Aspang Markt",02642/514 82,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Andrea Marchhart,"Martinplatz 4, 7210 Mattersburg",02626/657 83,Hautärztin
Dr. Daniela Mairhofer-Muri,"Marktplatz 9, 3034 Maria Anzbach",02772/54493,"Hautärztin | Hautärztin, Praktische Ärztin,Wahlärztin u. Privat"
Dr. Angela Korn,"Rathausplatz 8, 3130 Herzogenburg",02782/81194,Hautärztin
Dr. Gertrud Fumicz,"Franz-Lettner-Gasse 8, 3160 Traisen",02762/65817,Hautärztin
Dr. Shabnam Moradi,"Kranzbichlerstraße 47, 3100 St. Pölten",02742/78 358,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Adelheid Kienzl,"Hötzendorfstraße 4/3-4, 3100 St. Pölten",02742/35 23 69,Hautärztin
Dr. Michael Strasser,"Dr. Karl Reinthaler-Gasse 8a, 3100 St. Pölten",0676/6753393,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Werner Roth,"Schreinergasse 9, 3100 St. Pölten",02742/351566,Hautarzt
Dr. Knut Erich Prillinger,"Grenzgasse 11, 3100 St. Pölten",02742/32307,"Hautarzt | Hautarzt,Wahlarzt"
OA Dr. Rudolf Moshammer,"Wiener Straße 41, 3100 St. Pölten",0699/10158911,"Hautarzt | Hautarzt,Wahlarzt"
Mag. Dr. Kerstin Fischer,"Maximilianstraße 52, 3100 St. Pölten",02742/367 478,Hautärztin
Dr. Peter Jung,"Maximilanstraße 52, 3100 St.Pölten",02742/367478,Hautarzt
Dr. Eva Mühlbacher,"Rathausgasse 3, 3270 Scheibbs",07482/42461,Hautärztin
Dr. Ursula Krenn-Wesecky,"Spielbergerstrasse 15, 3390 Melk",0664/3083085,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Soheila Yousef Elahi,"Josef Adlmanseder-Str. 7, 3390 Melk",02752/51117,Hautärztin
Dr. Gerhard Kunz,"Kirchengasse 10, 3370 Ybbs an der Donau",07412/533 30,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Fritz Gruber,"Nikolaus Lenau-Straße 2, 3300 Amstetten",07472/63 933,Hautarzt
Dr. Nadja Gobara,"Oberer Stadtplatz 32, 3340 Waidhofen an der Ybbs",07442/54 186,"Hautärztin | Hautärztin, Praktische Ärztin,Wahlärztin"
Priv.Doz. Dr. Paul-Gunther Sator,"Bahnstraße 13, 3701 Großweikersdorf",02955/702 14,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Karin Raimitz-Kreyer,"Kremser Straße 9, 3550 Langenlois",02734/32 004,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ulrich Geppert,"Ringstraße 57, 3500 Krems an der Donau",0676/534 05 03,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Heide-Gritt Hochmiller-Spaun,"Obere Landstraße 3, 3500 Krems an der Donau",02732/854 94,Hautärztin
Dr. Susanne Schätz,"Heinemannstraße 6a, 3500 Krems an der Donau",02732/83941,Hautärztin
Dr. Barbara Beckmann,"Spitalgasse 8a, 3580 Horn",02982/20641,Hautärztin
Dr. Thomas Erhart,"Vitiser Straße 12, 3830 Waidhofen an der Thaya",02842/51060,"Hautarzt | Hautarzt, Praktischer Arzt,Wahlarzt"
Dr. Josef Seeberger,"Gerungser Str. 10, 3910 Zwettl",02822/20325,Hautarzt
Dr. Rudolf Wolf,"Mozartstraße 3, 4020 Linz",0732/782200,"Hautarzt | Hautarzt, Angiologe"
Dr. Karin Stefanie Lindtner,"Hauptstraße 77, 4040 Linz",0732/73 05 73,Hautärztin
Dr. Daniella Winter,"Khevenhüllerstraße 23, 4020 Linz",0650/540 20 29,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ruth Sandhofer-Novak,"Starhembergstraße 12, 4020 Linz",0732/794633,"Hautärztin | Hautärztin,Wahlärztin"
Prim. Univ.Doz. Dr. Georg Klein,"Volksfeststraße 2, 4020 Linz",0732/91 88 60,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Matthias Sandhofer,"Starhembergstraße 12, 4020 Linz",0732/797 656,Hautarzt
Dr. Reinhard Höfner,"Taubenmarkt 1/Ecke: Domgasse 22, 4020 Linz",0732/784009,Hautarzt
Dr. Reinhold Kaisergruber,"Saporoshjestraße 3, 4030 Linz",0732/31 40 00,Hautarzt
Dr. Reingard Hillisch,"Unterer Graben 4, 4070 Eferding",07272/76933,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Dr. Franz Wimmer,"Ferdinand Markl-Straße 39/5, 4040 Linz",0732/25 20 64,Hautarzt
Dr. Gabriele Schachtner,"Ferihumerstraße 44, 4040 Linz",0664/150 14 15,"Hautärztin | Hautärztin,Wahlärztin"
MR Dr. Johannes Neuhofer,"Wienerstraße 57, 4020 Linz",0732/6520 77,Hautarzt
Dr. Karin Dunst-Huemer,"Rosenauerstraße 2, 4040 Linz",0732/7321 27,Hautärztin
Dr. Franz Balouschek,"Landwiedstraße 140, 4020 Linz",0732/377100,Hautarzt
Dr. Evelyn Durnig,"Scharitzerstraße 3, 4020 Linz",0677/61200206,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Elisabeth Kowald,"Blumauer Straße 7/2, 4020 Linz",0732/651452,Hautärztin
Dr. Gerlinde Latzelsperger,"Anton Riepl-Straße 4a, 4210 Gallneukirchen",07235/62244,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Claudia Maria Bell,"Leondinger Straße 140, 4060 Leonding",0732/674060,Hautärztin
Dr. Karin Krenmayr,"Kremstalstraße 20, 4050 Traun",07229/74206,Hautärztin
Dr. Gerald Franz Hinterecker,"Kremstalstraße 20, 4050 Traun",07229/74206,Hautarzt
OÄ Dr. Ingrid Manuela Keplinger,"Schiferplatz 6, 4070 Eferding",07272/708 88,Hautärztin
Dr. Katharina Fiala,"Riedegg 1, 4210 Gallneukirchen",0681/20861885,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Anita Kirchmayr,"Bahnhofstraße 23, 4614 Marchtrenk",07243/54754,Hautärztin
Dr. Matthias Barta,"Steegenstraße 5, 4722 Peuerbach",0650/8500648,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Christoph Stelzer,"Mitterfeld 13b, 4150 Rohrbach in Oberösterreich",07289/20722,Hautarzt
Dr. Kristin Mlynek,"Hauptplatz 23, 4190 Bad Leonfelden",07213 / 21 122,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Susanne Halmdienst,"Promenade 25, 4240 Freistadt",07942/75434,"Hautärztin | Hautärztin, Angiologin"
Dr. Birgit Raffier,"Hauptplatz 6, 4470 Enns",07223/81 315,Hautärztin
Dr. Edith Streinz,"Westbahnstraße 46, 4300 St. Valentin",07435/58888,Hautärztin
Dr. Franz Singer,"Stifterstraße 6, 4320 Perg",07262/54445,Hautarzt
Dr. Gernot Mayer,"Dukartstraße 15-17/3, 4400 Steyr",07252/467 46 99,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Konstantin Sfetsos,"Pachergasse 13, 4400 Steyr",07252/46596,Hautarzt
Dr. Michele Deutsch,"Hauptplatz 13, 4540 Bad Hall",07258/791 45,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Gernot Lechner,"Steiningerweg 18 / Ärztezentrum Med7, 4600 Wels",0664/138 95 88,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Christian Brandlmaier,"Reinberghof 2, 4600 Thalheim bei Wels",07242/556 60,Hautarzt
OÄ Dr. Karin Nittmann,"Römerstraße 80 A, 4600 Wels",0676/32 93 742,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Patrick Schauer,"Kaiser Franz-Josef-Platz 32, 4600 Wels",0650/417 75 25,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Walter Waldl,"Ringstraße 4, 4600 Wels",07242/411 83,Hautarzt
Dr. Josef Raml,"Edisonstraße 2/1, 4600 Wels",07242/909901,Hautarzt
Prim. Dr. Werner Saxinger,"Grieskirchnerstr. 42, 4600 Wels",0664/5032627,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Monika Paulik,"Grieskirchner Straße 15, 4600 Wels",07242/590 01,Hautärztin
Dr. Vera Reinhart,"Knorrstraße 15/B1, 4600 Wels",07242/360 360,"Hautärztin | Hautärztin,Wahlärztin"
OA Dr. Thomas Berger,"Stadtplatz 29, 4690 Schwanenstadt",07673/40909,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Horst Berger,"Maximilian-Pagl-Straße 12, 4651 Stadl-Paura",0650/9980932,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Jutta Popp-Habeler,"Gmundnerstraße 32, 4663 Laakirchen",07613/90802,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Brigitta Charwat-Pessler,"Uferstraße 4, 4710 Grieskirchen",07248/628 80,Hautärztin
Dr.med.univ. Brigitte Schober,"Franz Resienbichler Straße 15, 4810 Gmunden",0676/6906010,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Michael Schierl,"Georgstraße 5, 4810 Gmunden",07612/666 88,Hautarzt
